createAt,manageObject,M8076C0
2025-05-08T06:30:00.000-04:00:00,NE-MRBTS-660701,26796133
2025-05-08T06:45:00.000-04:00:00,NE-MRBTS-660701,24377274
2025-05-08T07:00:00.000-04:00:00,NE-MRBTS-660701,23439965
2025-05-08T07:15:00.000-04:00:00,NE-MRBTS-660701,17299822
2025-05-08T07:30:00.000-04:00:00,NE-MRBTS-660701,19164414
2025-05-08T07:45:00.000-04:00:00,NE-MRBTS-660701,23449688
2025-05-08T08:00:00.000-04:00:00,NE-MRBTS-660701,22516307
2025-05-08T08:15:00.000-04:00:00,NE-MRBTS-660701,24381684
2025-05-08T08:30:00.000-04:00:00,NE-MRBTS-660701,23263408
2025-05-08T08:45:00.000-04:00:00,NE-MRBTS-660701,19167857
2025-05-08T09:00:00.000-04:00:00,NE-MRBTS-660701,20101118
2025-05-08T09:15:00.000-04:00:00,NE-MRBTS-660701,23444778
2025-05-08T09:30:00.000-04:00:00,NE-MRBTS-660701,26801947
2025-05-08T09:45:00.000-04:00:00,NE-MRBTS-660701,17865606
2025-05-08T10:00:00.000-04:00:00,NE-MRBTS-660701,20843618
2025-05-08T10:15:00.000-04:00:00,NE-MRBTS-660701,24378012
2025-05-08T10:30:00.000-04:00:00,NE-MRBTS-660701,21401828
2025-05-08T10:45:00.000-04:00:00,NE-MRBTS-660701,26235751
2025-05-08T11:00:00.000-04:00:00,NE-MRBTS-660701,22699372
2025-05-08T11:15:00.000-04:00:00,NE-MRBTS-660701,25306304
2025-05-08T11:30:00.000-04:00:00,NE-MRBTS-660701,24186280
2025-05-08T11:45:00.000-04:00:00,NE-MRBTS-660701,25499837
2025-05-08T12:00:00.000-04:00:00,NE-MRBTS-660701,21775757
2025-05-08T12:15:00.000-04:00:00,NE-MRBTS-660701,19727292
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-660701,19353483
2025-05-08T12:45:00.000-04:00:00,NE-MRBTS-660701,25120057
2025-05-08T13:00:00.000-04:00:00,NE-MRBTS-660701,28093743
2025-05-08T13:15:00.000-04:00:00,NE-MRBTS-660701,25679168
2025-05-08T13:30:00.000-04:00:00,NE-MRBTS-660701,24000204
2025-05-08T13:45:00.000-04:00:00,NE-MRBTS-660701,25129927
2025-05-08T14:00:00.000-04:00:00,NE-MRBTS-660701,25119858
2025-05-08T14:15:00.000-04:00:00,NE-MRBTS-660701,25857462
2025-05-08T14:30:00.000-04:00:00,NE-MRBTS-660701,22321575
2025-05-08T14:45:00.000-04:00:00,NE-MRBTS-660701,25857123
2025-05-08T15:00:00.000-04:00:00,NE-MRBTS-660701,22875894
2025-05-08T15:15:00.000-04:00:00,NE-MRBTS-660701,19527665
2025-05-08T15:30:00.000-04:00:00,NE-MRBTS-660701,20274054
2025-05-06T15:00:00.000-03:00:00,NE-MRBTS-414225,1558824
2025-05-06T15:15:00.000-03:00:00,NE-MRBTS-414225,1946687
2025-05-06T15:30:00.000-03:00:00,NE-MRBTS-414225,1859899
2025-05-06T16:00:00.000-03:00:00,NE-MRBTS-414225,1933532
2025-05-06T16:15:00.000-03:00:00,NE-MRBTS-414225,1587219
2025-05-06T16:30:00.000-03:00:00,NE-MRBTS-414225,2147031
2025-05-06T16:45:00.000-03:00:00,NE-MRBTS-414225,1471778
2025-05-06T17:00:00.000-03:00:00,NE-MRBTS-414225,1823322
2025-05-06T17:15:00.000-03:00:00,NE-MRBTS-414225,1691418
2025-05-06T17:30:00.000-03:00:00,NE-MRBTS-414225,1760753
2025-05-06T17:45:00.000-03:00:00,NE-MRBTS-414225,2032526
2025-05-06T18:00:00.000-03:00:00,NE-MRBTS-414225,2194803
2025-05-06T18:15:00.000-03:00:00,NE-MRBTS-414225,2015077
2025-05-06T18:30:00.000-03:00:00,NE-MRBTS-414225,1822572
2025-05-06T18:45:00.000-03:00:00,NE-MRBTS-414225,1502271
2025-05-06T19:00:00.000-03:00:00,NE-MRBTS-414225,1607498
2025-05-06T19:15:00.000-03:00:00,NE-MRBTS-414225,1675229
2025-05-06T19:30:00.000-03:00:00,NE-MRBTS-414225,1835429
2025-05-06T19:45:00.000-03:00:00,NE-MRBTS-414225,1749130
2025-05-06T20:00:00.000-03:00:00,NE-MRBTS-414225,1840155
2025-05-06T20:15:00.000-03:00:00,NE-MRBTS-414225,1633040
2025-05-06T20:30:00.000-03:00:00,NE-MRBTS-414225,1561193
2025-05-06T20:45:00.000-03:00:00,NE-MRBTS-414225,1840736
2025-05-06T21:00:00.000-03:00:00,NE-MRBTS-414225,1601777
2025-05-06T21:15:00.000-03:00:00,NE-MRBTS-414225,1924975
2025-05-06T21:30:00.000-03:00:00,NE-MRBTS-414225,1922648
2025-05-06T21:45:00.000-03:00:00,NE-MRBTS-414225,1885274
2025-05-06T22:00:00.000-03:00:00,NE-MRBTS-414225,1972738
2025-05-06T22:15:00.000-03:00:00,NE-MRBTS-414225,1454513
2025-05-06T22:30:00.000-03:00:00,NE-MRBTS-414225,2011402
2025-05-06T22:45:00.000-03:00:00,NE-MRBTS-414225,2111062
2025-05-06T23:00:00.000-03:00:00,NE-MRBTS-414225,2096707
2025-05-06T23:15:00.000-03:00:00,NE-MRBTS-414225,1717187
2025-05-06T23:30:00.000-03:00:00,NE-MRBTS-414225,2026538
2025-05-06T23:45:00.000-03:00:00,NE-MRBTS-414225,2102412
2025-05-07T00:00:00.000-03:00:00,NE-MRBTS-414225,2188542
2025-05-07T00:15:00.000-03:00:00,NE-MRBTS-414225,1766278
2025-05-07T00:30:00.000-03:00:00,NE-MRBTS-414225,1962861
2025-05-07T00:45:00.000-03:00:00,NE-MRBTS-414225,1845853
2025-05-07T01:00:00.000-03:00:00,NE-MRBTS-414225,1841187
2025-05-07T01:15:00.000-03:00:00,NE-MRBTS-414225,1232329
2025-05-07T01:30:00.000-03:00:00,NE-MRBTS-414225,1890648
2025-05-07T01:45:00.000-03:00:00,NE-MRBTS-414225,2048817
2025-05-07T02:00:00.000-03:00:00,NE-MRBTS-414225,1988786
2025-05-07T02:15:00.000-03:00:00,NE-MRBTS-414225,1860900
2025-05-07T02:30:00.000-03:00:00,NE-MRBTS-414225,1631046
2025-05-07T02:45:00.000-03:00:00,NE-MRBTS-414225,2029169
2025-05-07T03:00:00.000-03:00:00,NE-MRBTS-414225,1782377
2025-05-07T03:15:00.000-03:00:00,NE-MRBTS-414225,1599945
2025-05-07T03:30:00.000-03:00:00,NE-MRBTS-414225,2209836
2025-05-07T03:45:00.000-03:00:00,NE-MRBTS-414225,2058557
2025-05-07T04:00:00.000-03:00:00,NE-MRBTS-414225,2220972
2025-05-07T04:15:00.000-03:00:00,NE-MRBTS-414225,1914502
2025-05-07T04:30:00.000-03:00:00,NE-MRBTS-414225,1697923
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-414225,1434216
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-414225,1590458
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-414225,1738346
2025-05-08T10:45:00.000-03:00:00,NE-MRBTS-414225,2073098
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-414225,2044225
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-414225,1859618
2025-05-08T11:30:00.000-03:00:00,NE-MRBTS-414225,1792736
2025-05-08T11:45:00.000-03:00:00,NE-MRBTS-414225,1803218
2025-05-08T12:00:00.000-03:00:00,NE-MRBTS-414225,2399552
2025-05-08T12:15:00.000-03:00:00,NE-MRBTS-414225,2133621
2025-05-08T12:30:00.000-03:00:00,NE-MRBTS-414225,2057052
2025-05-08T12:45:00.000-03:00:00,NE-MRBTS-414225,1531138
2025-05-08T13:00:00.000-03:00:00,NE-MRBTS-414225,1574605
2025-05-08T13:15:00.000-03:00:00,NE-MRBTS-414225,1575401
2025-05-08T13:30:00.000-03:00:00,NE-MRBTS-414225,1793060
2025-05-08T13:45:00.000-03:00:00,NE-MRBTS-414225,1880468
2025-05-08T14:00:00.000-03:00:00,NE-MRBTS-414225,1820920
2025-05-08T14:15:00.000-03:00:00,NE-MRBTS-414225,1919990
2025-05-08T14:30:00.000-03:00:00,NE-MRBTS-414225,1638862
2025-05-08T14:45:00.000-03:00:00,NE-MRBTS-414225,1646038
2025-05-08T15:00:00.000-03:00:00,NE-MRBTS-414225,2060771
2025-05-08T15:15:00.000-03:00:00,NE-MRBTS-414225,1732944
2025-05-08T15:30:00.000-03:00:00,NE-MRBTS-414225,2145765
2025-05-08T15:45:00.000-03:00:00,NE-MRBTS-414225,2219547
2025-05-08T16:00:00.000-03:00:00,NE-MRBTS-414225,2013913
2025-05-08T16:15:00.000-03:00:00,NE-MRBTS-414225,2016280
2025-05-08T16:30:00.000-03:00:00,NE-MRBTS-414225,2179519
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690501,1145665
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690501,1571455
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,945237
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,1345366
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690501,1390239
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690501,1486587
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,1351682
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690501,1325243
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690501,1407797
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-690501,986588
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690501,938743
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690501,892595
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690501,919587
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-690501,1382407
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-690501,1354247
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-690501,1446022
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-690501,1182646
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-690501,1385481
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-690501,1151709
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-690501,1322899
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-690501,1342358
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-690501,1368521
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-690501,1180939
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-690501,1651459
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-690501,1358293
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-690501,1245140
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-690501,1095203
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-690501,1260294
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-690501,1240356
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-690501,1274368
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-690501,1118959
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-690501,1189694
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-690501,1272724
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-690501,1244770
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-690501,1157598
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-690501,1391087
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-690501,1274913
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-690501,1345836
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-690501,1205518
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-690501,1262575
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-690501,1286267
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-690501,1092537
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-690501,915127
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-690501,1220716
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-690501,1213390
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-690501,1163560
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-690501,1360132
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-690501,1025780
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-690501,1321642
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-690501,807726
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-690501,1320387
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-690501,1473556
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-690501,1280667
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-690501,1325786
2025-05-07T04:15:00.000-04:00:00,NE-MRBTS-690501,1248935
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-690501,1116377
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-690501,1283623
2025-05-07T05:15:00.000-04:00:00,NE-MRBTS-690501,1338033
2025-05-07T05:30:00.000-04:00:00,NE-MRBTS-690501,1349663
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-690501,1284539
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-690501,1025314
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-690501,1301094
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-690501,1411037
2025-05-07T07:15:00.000-04:00:00,NE-MRBTS-690501,1298723
2025-05-07T07:30:00.000-04:00:00,NE-MRBTS-690501,1274623
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-690501,1215789
2025-05-07T08:15:00.000-04:00:00,NE-MRBTS-690501,1323952
2025-05-07T08:30:00.000-04:00:00,NE-MRBTS-690501,1287071
2025-05-07T09:00:00.000-04:00:00,NE-MRBTS-690501,1408534
2025-05-07T09:15:00.000-04:00:00,NE-MRBTS-690501,1388661
2025-05-07T09:30:00.000-04:00:00,NE-MRBTS-690501,1108125
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-690501,1094684
2025-05-07T10:15:00.000-04:00:00,NE-MRBTS-690501,1007506
2025-05-07T10:30:00.000-04:00:00,NE-MRBTS-690501,1089857
2025-05-07T11:00:00.000-04:00:00,NE-MRBTS-690501,1167223
2025-05-07T11:15:00.000-04:00:00,NE-MRBTS-690501,1434360
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-690501,1406831
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-690501,1165184
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-690501,1291438
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-690501,1214964
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-690501,1248195
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-690501,1479803
