createAt,manageObject,M8039C6,M8039C4,M8039C5
2025-05-07T20:00:00.000-04:00:00,NE-MRBTS-660701,105,,
2025-05-07T20:15:00.000-04:00:00,NE-MRBTS-660701,113,,
2025-05-07T20:30:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-07T20:45:00.000-04:00:00,NE-MRBTS-660701,104,,
2025-05-07T21:00:00.000-04:00:00,NE-MRBTS-660701,113,,
2025-05-07T21:15:00.000-04:00:00,NE-MRBTS-660701,108,,
2025-05-07T21:30:00.000-04:00:00,NE-MRBTS-660701,106,,
2025-05-07T21:45:00.000-04:00:00,NE-MRBTS-660701,110,,
2025-05-07T22:00:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-07T22:15:00.000-04:00:00,NE-MRBTS-660701,108,,
2025-05-07T22:30:00.000-04:00:00,NE-MRBTS-660701,109,,
2025-05-07T22:45:00.000-04:00:00,NE-MRBTS-660701,108,,
2025-05-07T23:00:00.000-04:00:00,NE-MRBTS-660701,112,,
2025-05-07T23:15:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-07T23:30:00.000-04:00:00,NE-MRBTS-660701,118,,
2025-05-07T23:45:00.000-04:00:00,NE-MRBTS-660701,116,,
2025-05-08T00:00:00.000-04:00:00,NE-MRBTS-660701,110,,
2025-05-08T00:15:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-08T00:30:00.000-04:00:00,NE-MRBTS-660701,111,,
2025-05-08T00:45:00.000-04:00:00,NE-MRBTS-660701,116,,
2025-05-08T01:00:00.000-04:00:00,NE-MRBTS-660701,117,,
2025-05-08T01:15:00.000-04:00:00,NE-MRBTS-660701,107,,
2025-05-08T01:30:00.000-04:00:00,NE-MRBTS-660701,105,,
2025-05-08T01:45:00.000-04:00:00,NE-MRBTS-660701,101,,
2025-05-08T02:00:00.000-04:00:00,NE-MRBTS-660701,107,,
2025-05-08T02:15:00.000-04:00:00,NE-MRBTS-660701,109,,
