createAt,manageObject,M8066C17,M8066C19,M8066C29,M8066C30,M8066C56,M8066C57,M8066C55,M8066C14,M8066C15,M8066C16,M8066C18,M8066C58,M8066C20,M8066C27
2025-05-07T23:15:00.000-04:00:00,NE-MRBTS-660701,146250,630019,,,,,,,,,,,,
2025-05-07T23:30:00.000-04:00:00,NE-MRBTS-660701,146250,629989,,,,,,,,,,,,
2025-05-07T23:45:00.000-04:00:00,NE-MRBTS-660701,146250,629987,,,,,,,,,,,,
2025-05-08T00:00:00.000-04:00:00,NE-MRBTS-660701,146250,630021,,,,,,,,,,,,
2025-05-08T00:15:00.000-04:00:00,NE-MRBTS-660701,146250,629971,,,,,,,,,,,,
2025-05-08T00:30:00.000-04:00:00,NE-MRBTS-660701,146250,630037,,,,,,,,,,,,
2025-05-08T00:45:00.000-04:00:00,NE-MRBTS-660701,146250,629971,,,,,,,,,,,,
2025-05-08T01:00:00.000-04:00:00,NE-MRBTS-660701,146250,630037,,,,,,,,,,,,
2025-05-08T01:15:00.000-04:00:00,NE-MRBTS-660701,146250,629971,,,,,,,,,,,,
2025-05-08T01:30:00.000-04:00:00,NE-MRBTS-660701,146250,630005,,,,,,,,,,,,
2025-05-08T01:45:00.000-04:00:00,NE-MRBTS-660701,146250,630003,,,,,,,,,,,,
2025-05-08T02:00:00.000-04:00:00,NE-MRBTS-660701,146250,629973,,,,,,,,,,,,
2025-05-08T02:15:00.000-04:00:00,NE-MRBTS-660701,146250,630035,,,,,,,,,,,,
2025-05-08T02:30:00.000-04:00:00,NE-MRBTS-660701,146250,629973,,,,,,,,,,,,
2025-05-08T02:45:00.000-04:00:00,NE-MRBTS-660701,146250,630035,,,,,,,,,,,,
2025-05-08T03:00:00.000-04:00:00,NE-MRBTS-660701,146250,629973,,,,,,,,,,,,
2025-05-08T03:15:00.000-04:00:00,NE-MRBTS-660701,146250,630019,,,,,,,,,,,,
2025-05-08T03:30:00.000-04:00:00,NE-MRBTS-660701,146250,629989,,,,,,,,,,,,
2025-05-08T03:45:00.000-04:00:00,NE-MRBTS-660701,146250,629987,,,,,,,,,,,,
2025-05-08T04:00:00.000-04:00:00,NE-MRBTS-660701,146250,630021,,,,,,,,,,,,
2025-05-08T04:15:00.000-04:00:00,NE-MRBTS-660701,146250,629971,,,,,,,,,,,,
2025-05-08T04:30:00.000-04:00:00,NE-MRBTS-660701,146250,630037,,,,,,,,,,,,
2025-05-08T04:45:00.000-04:00:00,NE-MRBTS-660701,146250,629971,,,,,,,,,,,,
2025-05-08T05:00:00.000-04:00:00,NE-MRBTS-660701,146250,630037,,,,,,,,,,,,
2025-05-08T05:15:00.000-04:00:00,NE-MRBTS-660701,146250,629971,,,,,,,,,,,,
2025-05-08T05:30:00.000-04:00:00,NE-MRBTS-660701,146250,630005,,,,,,,,,,,,
2025-05-08T05:45:00.000-04:00:00,NE-MRBTS-660701,146250,630003,,,,,,,,,,,,
2025-05-08T06:00:00.000-04:00:00,NE-MRBTS-660701,146250,629973,,,,,,,,,,,,
2025-05-08T06:15:00.000-04:00:00,NE-MRBTS-660701,146250,630035,,,,,,,,,,,,
2025-05-08T06:30:00.000-04:00:00,NE-MRBTS-660701,146250,629973,,,,,,,,,,,,
2025-05-08T06:45:00.000-04:00:00,NE-MRBTS-660701,146250,630035,,,,,,,,,,,,
2025-05-08T07:00:00.000-04:00:00,NE-MRBTS-660701,146250,629973,,,,,,,,,,,,
2025-05-08T07:15:00.000-04:00:00,NE-MRBTS-660701,146250,630019,,,,,,,,,,,,
2025-05-08T07:30:00.000-04:00:00,NE-MRBTS-660701,146250,629989,,,,,,,,,,,,
2025-05-08T07:45:00.000-04:00:00,NE-MRBTS-660701,146250,629987,,,,,,,,,,,,
2025-05-08T08:00:00.000-04:00:00,NE-MRBTS-660701,146250,630021,,,,,,,,,,,,
2025-05-08T08:15:00.000-04:00:00,NE-MRBTS-660701,146250,629971,,,,,,,,,,,,
