createAt,manageObject,M8013C5,M8013C9,M8013C13,M8013C15,M8013C17,M8013C18,M8013C19,M8013C35,M8013C36,M8013C37,M8013C43,M8013C44,M8013C45,M8013C47,M8013C54,M8013C55,M8013C56,M8013C62,M8013C70,M8013C71,M8013C83,M8013C84,M8013C85,M8013C109,M8013C111,M8013C113,M8013C114,M8013C24,M8013C25,M8013C6,M8013C31,M8013C32,M8013C87,M8013C10,M8013C110,M8013C2,M8013C49,M8013C90,M8013C123,M8013C79,M8013C116,M8013C29,M8013C40,M8013C95,M8013C122,M8013C61,M8013C57,M8013C1,M8013C89,M8013C72,M8013C60,M8013C58,M8013C39,M8013C3,M8013C41
2025-05-07T23:30:00.000-03:00:00,NE-MRBTS-771801,73,23.0,50.0,,24,14.0,35.0,24,35.0,14.0,73,73,50.0,50.0,50.0,50.0,,47.0,42.0,8.0,24,14.0,35.0,,,,,1076989.0,1867910.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-08T00:00:00.000-03:00:00,NE-MRBTS-771801,50,15.0,35.0,,15,15.0,20.0,15,20.0,15.0,50,50,36.0,36.0,35.0,35.0,,36.0,30.0,5.0,15,15.0,20.0,,,,,1090680.0,1633215.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T00:15:00.000-03:00:00,NE-MRBTS-771801,53,22.0,33.0,,21,10.0,22.0,21,22.0,10.0,53,53,32.0,32.0,33.0,33.0,,32.0,30.0,3.0,21,10.0,22.0,,,,,823724.0,1655641.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T00:30:00.000-03:00:00,NE-MRBTS-771801,56,12.0,42.0,,14,9.0,33.0,14,33.0,9.0,56,56,43.0,43.0,42.0,42.0,,43.0,34.0,8.0,14,9.0,33.0,,,,,709758.0,1814034.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-08T01:00:00.000-03:00:00,NE-MRBTS-771801,58,21.0,36.0,,21,9.0,28.0,21,28.0,9.0,58,58,37.0,37.0,36.0,36.0,,35.0,32.0,4.0,21,9.0,28.0,,,,,691359.0,1636631.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T01:15:00.000-03:00:00,NE-MRBTS-771801,46,17.0,27.0,,17,9.0,20.0,17,20.0,9.0,46,46,29.0,29.0,27.0,27.0,,27.0,26.0,1.0,17,9.0,20.0,,,,,652008.0,1668410.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T01:30:00.000-03:00:00,NE-MRBTS-771801,47,13.0,35.0,,15,11.0,21.0,15,21.0,11.0,47,47,33.0,33.0,35.0,35.0,,29.0,31.0,4.0,15,11.0,21.0,,,,,675672.0,1909489.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-08T02:00:00.000-03:00:00,NE-MRBTS-771801,36,11.0,28.0,,11,5.0,20.0,11,20.0,5.0,36,36,25.0,25.0,28.0,28.0,,22.0,25.0,3.0,11,5.0,20.0,,,,,551572.0,1627622.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T02:15:00.000-03:00:00,NE-MRBTS-771801,68,19.0,46.0,1.0,19,10.0,39.0,19,39.0,10.0,68,68,49.0,49.0,47.0,46.0,1.0,48.0,33.0,13.0,19,10.0,39.0,,1.0,,,555222.0,1804979.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T02:30:00.000-03:00:00,NE-MRBTS-771801,62,22.0,41.0,,24,13.0,25.0,24,25.0,13.0,62,62,39.0,39.0,41.0,41.0,,38.0,35.0,6.0,24,13.0,25.0,,,,,590487.0,1740218.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-08T03:00:00.000-03:00:00,NE-MRBTS-771801,72,20.0,52.0,,19,7.0,46.0,19,46.0,7.0,72,72,53.0,53.0,52.0,52.0,,52.0,44.0,8.0,19,7.0,46.0,,,,,737011.0,1895726.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T03:15:00.000-03:00:00,NE-MRBTS-771801,67,29.0,38.0,,25,5.0,37.0,25,37.0,5.0,67,67,43.0,43.0,38.0,38.0,,42.0,32.0,6.0,25,5.0,37.0,,,,,794820.0,1745296.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-08T03:30:00.000-03:00:00,NE-MRBTS-771801,61,13.0,44.0,,13,13.0,35.0,13,35.0,13.0,61,61,48.0,48.0,44.0,44.0,,47.0,37.0,7.0,13,13.0,35.0,,,,,738922.0,1953874.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T04:00:00.000-03:00:00,NE-MRBTS-771801,47,19.0,29.0,,19,4.0,24.0,19,24.0,4.0,47,48,29.0,29.0,29.0,29.0,,28.0,26.0,3.0,19,4.0,24.0,,,,,690448.0,1705303.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T04:15:00.000-03:00:00,NE-MRBTS-771801,42,19.0,22.0,,20,8.0,14.0,20,14.0,8.0,42,42,23.0,23.0,22.0,22.0,,21.0,21.0,1.0,20,8.0,14.0,,,,,465714.0,1692031.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-08T04:30:00.000-03:00:00,NE-MRBTS-771801,49,16.0,33.0,,16,11.0,22.0,16,22.0,11.0,49,49,33.0,33.0,33.0,33.0,,31.0,29.0,4.0,16,11.0,22.0,,,,,521640.0,1850274.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T05:00:00.000-03:00:00,NE-MRBTS-771801,71,21.0,51.0,,21,9.0,41.0,21,41.0,9.0,71,71,50.0,50.0,51.0,51.0,,39.0,40.0,11.0,21,9.0,41.0,,,,,513802.0,1909880.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T05:15:00.000-03:00:00,NE-MRBTS-771801,86,26.0,58.0,,28,11.0,47.0,28,47.0,11.0,86,86,59.0,59.0,58.0,58.0,,49.0,44.0,14.0,28,11.0,47.0,,,,,414917.0,1625745.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-08T05:30:00.000-03:00:00,NE-MRBTS-771801,99,26.0,72.0,,26,30.0,43.0,26,43.0,30.0,99,99,73.0,73.0,72.0,72.0,,48.0,56.0,16.0,26,30.0,43.0,,,,,611667.0,2046606.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T06:00:00.000-03:00:00,NE-MRBTS-771801,90,38.0,50.0,,39,23.0,28.0,39,28.0,23.0,90,90,52.0,52.0,50.0,50.0,,49.0,41.0,9.0,39,23.0,28.0,,,,,458528.0,1463882.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T06:15:00.000-03:00:00,NE-MRBTS-771801,82,31.0,52.0,,35,18.0,29.0,35,29.0,18.0,82,82,50.0,50.0,52.0,52.0,,41.0,43.0,9.0,35,18.0,29.0,,,,,476477.0,1090414.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-08T06:30:00.000-03:00:00,NE-MRBTS-771801,81,32.0,49.0,,37,19.0,29.0,33,29.0,19.0,81,81,49.0,49.0,49.0,49.0,,40.0,37.0,12.0,37,19.0,29.0,1.0,,,,431878.0,1626252.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T07:00:00.000-03:00:00,NE-MRBTS-771801,132,81.0,54.0,,77,23.0,33.0,76,33.0,23.0,132,132,56.0,56.0,54.0,54.0,,38.0,38.0,16.0,77,23.0,33.0,,,,,658830.0,1821057.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T07:15:00.000-03:00:00,NE-MRBTS-771801,104,64.0,40.0,,63,10.0,31.0,63,31.0,10.0,104,104,41.0,41.0,40.0,40.0,,27.0,32.0,8.0,63,10.0,31.0,,,,,417656.0,941734.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T07:30:00.000-03:00:00,NE-MRBTS-771801,102,57.0,44.0,,58,17.0,27.0,58,27.0,17.0,102,102,45.0,45.0,44.0,44.0,,30.0,33.0,11.0,58,17.0,27.0,9.0,,,,587003.0,800748.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T08:00:00.000-03:00:00,NE-MRBTS-771801,122,78.0,43.0,,74,18.0,30.0,74,30.0,18.0,122,121,47.0,47.0,43.0,43.0,,34.0,33.0,10.0,74,18.0,30.0,11.0,,,,1128208.0,1405969.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T08:15:00.000-03:00:00,NE-MRBTS-771801,131,93.0,40.0,,81,14.0,36.0,81,36.0,14.0,131,132,51.0,51.0,40.0,40.0,,33.0,29.0,11.0,81,14.0,36.0,1.0,,,,1172458.0,1954547.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T08:30:00.000-03:00:00,NE-MRBTS-771801,100,65.0,34.0,,64,8.0,28.0,64,28.0,8.0,100,100,37.0,37.0,34.0,34.0,,27.0,26.0,8.0,64,8.0,28.0,1.0,,,,823838.0,1766451.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-08T09:00:00.000-03:00:00,NE-MRBTS-771801,89,52.0,39.0,,52,17.0,20.0,52,20.0,17.0,89,89,37.0,37.0,39.0,39.0,,27.0,31.0,8.0,52,17.0,20.0,1.0,,,,862285.0,1704505.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T09:15:00.000-03:00:00,NE-MRBTS-771801,75,50.0,25.0,1.0,51,12.0,12.0,51,12.0,12.0,75,75,24.0,24.0,26.0,25.0,1.0,12.0,21.0,4.0,51,12.0,12.0,2.0,1.0,,,400683.0,962596.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T09:30:00.000-03:00:00,NE-MRBTS-771801,101,60.0,40.0,,62,21.0,18.0,62,18.0,21.0,101,101,40.0,40.0,40.0,40.0,,19.0,31.0,9.0,62,21.0,18.0,,,,,663871.0,2097566.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-771801,119,70.0,47.0,1.0,70,24.0,25.0,70,25.0,24.0,119,119,50.0,50.0,48.0,47.0,,26.0,38.0,9.0,70,24.0,25.0,2.0,,,1.0,764614.0,2276918.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-771801,91,43.0,49.0,,43,25.0,23.0,43,23.0,25.0,91,91,48.0,48.0,49.0,49.0,,26.0,37.0,12.0,43,25.0,23.0,,,,,1160620.0,2392885.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-771801,79,40.0,37.0,,42,17.0,20.0,42,20.0,17.0,79,79,38.0,38.0,37.0,37.0,,27.0,27.0,10.0,42,17.0,20.0,,,,,881963.0,2044125.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-771801,131,77.0,50.0,,87,28.0,21.0,82,21.0,28.0,131,131,56.0,56.0,50.0,50.0,,41.0,38.0,12.0,87,28.0,21.0,,,,,1135161.0,2110156.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-771801,96,43.0,52.0,2.0,44,34.0,18.0,44,18.0,34.0,96,96,54.0,54.0,54.0,52.0,1.0,37.0,37.0,15.0,44,34.0,18.0,1.0,2.0,,1.0,678542.0,2403120.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T11:30:00.000-03:00:00,NE-MRBTS-771801,107,54.0,53.0,1.0,52,20.0,35.0,52,35.0,20.0,107,106,53.0,53.0,54.0,53.0,1.0,26.0,39.0,14.0,52,20.0,35.0,,1.0,,,484433.0,2072751.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
2025-05-08T12:00:00.000-03:00:00,NE-MRBTS-771801,102,52.0,49.0,,51,26.0,25.0,51,25.0,26.0,102,102,51.0,51.0,49.0,49.0,,19.0,39.0,10.0,51,26.0,25.0,,3.0,,,958961.0,1332691.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T12:15:00.000-03:00:00,NE-MRBTS-771801,103,70.0,31.0,,59,22.0,23.0,58,23.0,22.0,103,103,45.0,45.0,31.0,31.0,,36.0,24.0,7.0,59,22.0,23.0,,,,,1934834.0,1614024.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T12:30:00.000-03:00:00,NE-MRBTS-771801,111,89.0,23.0,,76,19.0,16.0,76,16.0,19.0,111,111,35.0,35.0,23.0,23.0,,28.0,21.0,2.0,76,19.0,16.0,,,,,1641509.0,1840261.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T13:00:00.000-03:00:00,NE-MRBTS-771801,134,45.0,87.0,2.0,44,53.0,37.0,44,37.0,53.0,134,134,91.0,91.0,89.0,87.0,2.0,49.0,63.0,24.0,44,53.0,37.0,,2.0,,,970219.0,2636361.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T13:15:00.000-03:00:00,NE-MRBTS-771801,124,51.0,73.0,,46,57.0,21.0,46,21.0,57.0,124,124,78.0,78.0,73.0,73.0,,52.0,59.0,14.0,46,57.0,21.0,,1.0,,,815089.0,2234465.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T13:30:00.000-03:00:00,NE-MRBTS-771801,138,72.0,64.0,1.0,66,39.0,33.0,66,33.0,39.0,138,138,73.0,73.0,65.0,64.0,1.0,43.0,46.0,18.0,66,39.0,33.0,,1.0,,,1348035.0,2314945.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T14:00:00.000-03:00:00,NE-MRBTS-771801,122,72.0,50.0,,59,29.0,34.0,59,34.0,29.0,122,122,63.0,63.0,50.0,50.0,,38.0,39.0,11.0,59,29.0,34.0,,,,,1552484.0,2097553.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T14:15:00.000-03:00:00,NE-MRBTS-771801,119,70.0,50.0,,56,31.0,32.0,56,32.0,31.0,119,119,63.0,63.0,50.0,50.0,,37.0,40.0,10.0,56,31.0,32.0,,,,,1600833.0,1976857.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T14:30:00.000-03:00:00,NE-MRBTS-771801,120,67.0,54.0,1.0,54,30.0,36.0,54,36.0,30.0,120,120,66.0,66.0,55.0,54.0,1.0,42.0,38.0,16.0,54,30.0,36.0,,1.0,,,1734521.0,2447567.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T15:00:00.000-03:00:00,NE-MRBTS-771801,118,57.0,61.0,,55,33.0,30.0,55,30.0,33.0,118,118,64.0,64.0,61.0,61.0,,39.0,49.0,12.0,55,33.0,30.0,,,,,1100179.0,2549102.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T15:15:00.000-03:00:00,NE-MRBTS-771801,134,77.0,56.0,,68,40.0,26.0,68,26.0,40.0,134,134,67.0,67.0,56.0,56.0,,49.0,45.0,11.0,68,40.0,26.0,1.0,1.0,,,1261274.0,2826862.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T15:30:00.000-03:00:00,NE-MRBTS-771801,132,65.0,65.0,1.0,64,34.0,34.0,64,34.0,34.0,132,132,68.0,68.0,66.0,65.0,,38.0,48.0,17.0,64,34.0,34.0,2.0,,1.0,,995824.0,2631660.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T16:00:00.000-03:00:00,NE-MRBTS-771801,106,61.0,45.0,1.0,63,22.0,21.0,63,21.0,22.0,106,106,44.0,44.0,46.0,45.0,,29.0,33.0,12.0,63,22.0,21.0,1.0,,1.0,,1182361.0,2704606.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-08T16:15:00.000-03:00:00,NE-MRBTS-771801,176,47.0,68.0,,52,19.0,105.0,52,105.0,19.0,140,113,66.0,66.0,68.0,68.0,,40.0,49.0,19.0,52,19.0,105.0,,,,,976343.0,2734591.0,,,,,,,,,,,11.0,28.0,,,,,,,,,,,,,,
2025-05-08T16:30:00.000-03:00:00,NE-MRBTS-771801,78,53.0,22.0,,57,6.0,15.0,57,15.0,6.0,78,78,25.0,25.0,22.0,22.0,,13.0,19.0,3.0,57,6.0,15.0,1.0,,,,603916.0,847707.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:00:00.000-03:00:00,NE-MRBTS-341601,1150,270.0,764.0,5.0,484,239.0,435.0,476,435.0,239.0,1150,1150,818.0,818.0,769.0,764.0,2.0,192.0,570.0,194.0,484,239.0,436.0,11.0,7.0,,3.0,5666364.0,18282549.0,8.0,,,,118.0,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-06T15:15:00.000-03:00:00,NE-MRBTS-341601,1199,311.0,759.0,5.0,541,235.0,438.0,526,438.0,235.0,1199,1198,824.0,823.0,764.0,759.0,3.0,205.0,572.0,187.0,542,235.0,439.0,9.0,5.0,,2.0,6101244.0,19036485.0,15.0,,,,125.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
2025-05-06T15:30:00.000-03:00:00,NE-MRBTS-341601,1193,327.0,745.0,6.0,527,270.0,420.0,503,420.0,270.0,1193,1194,823.0,823.0,751.0,745.0,3.0,211.0,568.0,177.0,537,270.0,421.0,11.0,5.0,2.0,1.0,6516365.0,16668679.0,24.0,,,,110.0,2.0,,,11.0,,,,,,,,,,,,,,,,,
2025-05-06T16:00:00.000-03:00:00,NE-MRBTS-341601,1213,329.0,768.0,8.0,518,268.0,446.0,499,446.0,268.0,1213,1213,842.0,842.0,776.0,768.0,2.0,193.0,593.0,175.0,519,268.0,446.0,10.0,7.0,1.0,5.0,5915296.0,15752875.0,19.0,,,,108.0,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-06T16:15:00.000-03:00:00,NE-MRBTS-341601,1139,359.0,708.0,2.0,498,248.0,416.0,475,416.0,248.0,1139,1139,755.0,755.0,710.0,708.0,2.0,191.0,536.0,172.0,500,248.0,417.0,6.0,3.0,,,6357735.0,15747532.0,23.0,,,,72.0,,,,3.0,,,,,,,,,,,,,,,,,
2025-05-06T16:30:00.000-03:00:00,NE-MRBTS-341601,1006,310.0,613.0,11.0,467,206.0,352.0,447,352.0,206.0,1006,1004,669.0,669.0,624.0,613.0,5.0,165.0,472.0,141.0,469,206.0,352.0,19.0,9.0,3.0,3.0,7251759.0,13691984.0,20.0,1.0,1.0,1.0,73.0,,,,2.0,,,,,,,,,,,,,,,,,
2025-05-06T17:00:00.000-03:00:00,NE-MRBTS-341601,1056,447.0,525.0,4.0,563,197.0,303.0,555,302.0,197.0,1056,1056,597.0,596.0,529.0,525.0,2.0,198.0,408.0,117.0,564,197.0,303.0,11.0,3.0,,2.0,6050657.0,13131754.0,10.0,3.0,2.0,3.0,79.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
2025-05-06T17:15:00.000-03:00:00,NE-MRBTS-341601,928,338.0,478.0,17.0,487,155.0,300.0,477,292.0,155.0,928,928,574.0,569.0,495.0,478.0,5.0,154.0,365.0,113.0,487,155.0,301.0,32.0,7.0,3.0,9.0,4338270.0,12052482.0,18.0,4.0,4.0,4.0,90.0,,3.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,
2025-05-06T17:30:00.000-03:00:00,NE-MRBTS-341601,902,266.0,397.0,24.0,416,141.0,364.0,396,362.0,141.0,821,745,480.0,479.0,421.0,397.0,4.0,170.0,313.0,84.0,416,141.0,365.0,27.0,9.0,2.0,13.0,2971262.0,9249889.0,19.0,3.0,3.0,3.0,63.0,,,2.0,1.0,2.0,38.0,79.0,3.0,,3.0,3.0,,,,,,5.0,,3.0,,
2025-05-06T18:00:00.000-03:00:00,NE-MRBTS-341601,479,228.0,202.0,4.0,301,78.0,102.0,296,102.0,78.0,479,479,247.0,247.0,206.0,202.0,2.0,115.0,161.0,41.0,301,78.0,102.0,5.0,3.0,,2.0,1731067.0,5020884.0,5.0,3.0,3.0,3.0,52.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T18:15:00.000-03:00:00,NE-MRBTS-341601,460,195.0,216.0,3.0,282,85.0,100.0,275,100.0,85.0,460,460,259.0,259.0,219.0,216.0,1.0,121.0,181.0,35.0,282,85.0,101.0,4.0,1.0,1.0,1.0,943191.0,4519999.0,7.0,,,,47.0,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-06T18:30:00.000-03:00:00,NE-MRBTS-341601,377,180.0,150.0,1.0,261,51.0,73.0,252,73.0,51.0,377,377,189.0,188.0,151.0,150.0,,78.0,128.0,22.0,280,51.0,73.0,6.0,,,1.0,1218144.0,3508292.0,9.0,1.0,1.0,1.0,50.0,,,1.0,19.0,1.0,,,,,,,,,,,,,,,,
2025-05-06T19:00:00.000-03:00:00,NE-MRBTS-341601,398,124.0,218.0,2.0,224,55.0,128.0,215,128.0,55.0,398,399,259.0,259.0,220.0,218.0,,56.0,166.0,52.0,225,55.0,128.0,5.0,,2.0,,1774593.0,4572632.0,9.0,,,,51.0,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-06T19:15:00.000-03:00:00,NE-MRBTS-341601,456,129.0,263.0,3.0,241,86.0,132.0,237,132.0,86.0,456,456,304.0,304.0,266.0,263.0,,49.0,212.0,51.0,241,86.0,132.0,9.0,,,3.0,2206759.0,5165445.0,4.0,1.0,1.0,1.0,61.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T19:30:00.000-03:00:00,NE-MRBTS-341601,472,121.0,283.0,2.0,245,93.0,140.0,234,140.0,93.0,472,472,324.0,324.0,285.0,283.0,,48.0,235.0,48.0,245,93.0,140.0,6.0,1.0,,2.0,2540663.0,5844825.0,11.0,5.0,5.0,5.0,65.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T20:00:00.000-03:00:00,NE-MRBTS-341601,458,93.0,306.0,,213,97.0,153.0,208,153.0,97.0,458,458,335.0,335.0,306.0,306.0,,68.0,241.0,65.0,213,97.0,155.0,1.0,1.0,,,2841447.0,5808445.0,5.0,,,,64.0,,,,2.0,,,,,,,,,,,,,,,,,
2025-05-06T20:15:00.000-03:00:00,NE-MRBTS-341601,430,104.0,250.0,1.0,230,72.0,133.0,225,133.0,72.0,430,430,299.0,299.0,251.0,250.0,,71.0,199.0,51.0,231,72.0,133.0,2.0,,1.0,,3011949.0,5352209.0,5.0,,,,71.0,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-06T20:30:00.000-03:00:00,NE-MRBTS-341601,378,102.0,226.0,1.0,208,62.0,115.0,201,115.0,62.0,378,378,256.0,256.0,227.0,226.0,1.0,47.0,180.0,46.0,208,63.0,115.0,1.0,1.0,,,2952059.0,4958509.0,6.0,,,,54.0,,,,,,,,,,,,,,,1.0,,,,,,
2025-05-06T21:00:00.000-03:00:00,NE-MRBTS-341601,336,90.0,183.0,2.0,199,47.0,93.0,194,93.0,47.0,336,336,224.0,223.0,185.0,183.0,2.0,37.0,145.0,38.0,199,47.0,93.0,2.0,3.0,,,2655497.0,5565441.0,5.0,2.0,2.0,2.0,58.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
2025-05-06T21:15:00.000-03:00:00,NE-MRBTS-341601,357,107.0,182.0,2.0,206,52.0,97.0,204,97.0,52.0,357,357,231.0,231.0,184.0,182.0,,40.0,140.0,42.0,206,52.0,98.0,3.0,,1.0,1.0,2611227.0,4844935.0,2.0,4.0,4.0,4.0,66.0,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-06T21:30:00.000-03:00:00,NE-MRBTS-341601,359,77.0,226.0,1.0,143,90.0,125.0,143,125.0,90.0,359,359,276.0,276.0,227.0,226.0,,73.0,175.0,51.0,143,90.0,125.0,4.0,,,1.0,1708185.0,5190101.0,,1.0,1.0,1.0,56.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T22:00:00.000-03:00:00,NE-MRBTS-341601,318,60.0,205.0,,162,50.0,110.0,158,110.0,50.0,318,318,239.0,239.0,205.0,205.0,,51.0,165.0,40.0,162,50.0,112.0,3.0,,,,1634020.0,4387250.0,4.0,,,,57.0,,,,2.0,,,,,,,,,,,,,,,,,
2025-05-06T22:15:00.000-03:00:00,NE-MRBTS-341601,376,85.0,226.0,,185,68.0,124.0,180,124.0,68.0,376,376,275.0,275.0,226.0,226.0,,61.0,177.0,49.0,186,68.0,124.0,,1.0,,,1911109.0,4560748.0,5.0,4.0,4.0,4.0,62.0,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-06T22:30:00.000-03:00:00,NE-MRBTS-341601,318,62.0,197.0,1.0,159,51.0,109.0,157,109.0,51.0,318,318,243.0,243.0,198.0,197.0,1.0,54.0,170.0,27.0,159,51.0,109.0,1.0,1.0,,,2226392.0,4383732.0,2.0,1.0,1.0,1.0,61.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T23:00:00.000-03:00:00,NE-MRBTS-341601,313,84.0,175.0,1.0,163,41.0,116.0,156,116.0,41.0,313,313,228.0,227.0,176.0,175.0,1.0,83.0,143.0,32.0,163,41.0,116.0,6.0,,,,1724455.0,3608204.0,7.0,,,,51.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
2025-05-06T23:15:00.000-03:00:00,NE-MRBTS-341601,355,85.0,211.0,,171,63.0,122.0,170,122.0,63.0,355,356,264.0,264.0,211.0,211.0,,63.0,166.0,45.0,171,63.0,124.0,1.0,,,,2272789.0,4476893.0,1.0,,,,61.0,,,,2.0,,,,,,,,,,,,,,,,,
2025-05-06T23:30:00.000-03:00:00,NE-MRBTS-341601,416,66.0,285.0,,171,86.0,162.0,168,162.0,86.0,416,416,335.0,335.0,285.0,285.0,,95.0,239.0,46.0,171,86.0,162.0,1.0,3.0,,,1555252.0,5447801.0,3.0,,,,63.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:00:00.000-03:00:00,NE-MRBTS-341601,364,42.0,265.0,4.0,149,75.0,145.0,145,145.0,74.0,364,364,302.0,302.0,269.0,265.0,2.0,80.0,213.0,52.0,149,75.0,145.0,8.0,2.0,,2.0,2183848.0,5088452.0,4.0,,,,59.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:15:00.000-03:00:00,NE-MRBTS-341601,409,52.0,284.0,,165,68.0,186.0,159,181.0,69.0,409,409,342.0,341.0,284.0,284.0,,90.0,226.0,58.0,165,68.0,186.0,7.0,,,,2140405.0,4812336.0,11.0,,,,71.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
2025-05-07T00:30:00.000-03:00:00,NE-MRBTS-341601,408,47.0,310.0,,143,90.0,180.0,139,179.0,90.0,408,408,344.0,344.0,310.0,310.0,,81.0,236.0,74.0,143,90.0,180.0,1.0,,,,1880995.0,5393003.0,4.0,,,,52.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T01:00:00.000-03:00:00,NE-MRBTS-341601,407,50.0,296.0,,167,65.0,182.0,160,182.0,65.0,407,407,335.0,335.0,296.0,296.0,,94.0,238.0,58.0,168,65.0,182.0,5.0,,,,1135787.0,4585715.0,7.0,,,,66.0,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-07T01:15:00.000-03:00:00,NE-MRBTS-341601,371,48.0,255.0,,172,53.0,149.0,169,149.0,53.0,371,370,296.0,296.0,255.0,255.0,,87.0,214.0,41.0,172,53.0,149.0,1.0,,,,1506080.0,3727363.0,3.0,,,,67.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T01:30:00.000-03:00:00,NE-MRBTS-341601,320,39.0,233.0,,136,48.0,139.0,133,139.0,48.0,320,321,266.0,266.0,233.0,233.0,,77.0,181.0,52.0,136,48.0,139.0,2.0,,,,1499140.0,3631008.0,3.0,,,,49.0,,,,,,,,,,,,,,,,,,,,,
