createAt,manageObject,M8047C0,M8047C1,M8047C2,M8047C3,M8047C9,M8047C10,M8047C11,M8047C14,M8047C17,M8047C18,M8047C19,M8047C20,M8047C21,M8047C22,M8047C23,M8047C24,M8047C25,M8047C26,M8047C4,M8047C5,M8047C13,M8047C6,M8047C15,M8047C16
2025-05-08T13:00:00.000-04:00:00,NE-MRBTS-660701,313844280.0,23284984,43867.0,94055,5980.0,36568.0,14058,14.0,4606.0,808.0,41430.0,58868,6508872.0,69020.0,41045.0,83763,873312.0,92224.0,41096015.0,3270101,476.0,43758,20742.0,47016.0
2025-05-08T13:15:00.000-04:00:00,NE-MRBTS-660701,790310464.0,39740296,197981.0,173100,10981.0,90120.0,49046,1457.0,8526.0,1870.0,184591.0,84291,13711064.0,181316.0,186974.0,156902,1959136.0,220882.0,103917976.0,5962914,74.0,147428,32614.0,80561.0
2025-05-08T13:15:00.000-04:00:00,NE-MRBTS-660701,790310464.0,39740296,197981.0,173100,10981.0,90120.0,49046,1457.0,8526.0,1870.0,184591.0,84291,13711064.0,181316.0,186974.0,156902,1959136.0,220882.0,103917976.0,5962914,74.0,147428,32614.0,80561.0
2025-05-08T13:15:00.000-04:00:00,NE-MRBTS-660701,790310464.0,39740296,197981.0,173100,10981.0,90120.0,49046,1457.0,8526.0,1870.0,184591.0,84291,13711064.0,181316.0,186974.0,156902,1959136.0,220882.0,103917976.0,5962914,74.0,147428,32614.0,80561.0
2025-05-08T13:15:00.000-04:00:00,NE-MRBTS-660701,790310464.0,39740296,197981.0,173100,10981.0,90120.0,49046,1457.0,8526.0,1870.0,184591.0,84291,13711064.0,181316.0,186974.0,156902,1959136.0,220882.0,103917976.0,5962914,74.0,147428,32614.0,80561.0
2025-05-08T13:30:00.000-04:00:00,NE-MRBTS-660701,106733256.0,16837080,25003.0,108705,4972.0,15924.0,9935,46.0,3561.0,617.0,22889.0,79830,5147136.0,63024.0,22063.0,96413,472976.0,63658.0,14590757.0,2389612,373.0,27783,30408.0,51616.0
2025-05-08T13:30:00.000-04:00:00,NE-MRBTS-660701,106733256.0,16837080,25003.0,108705,4972.0,15924.0,9935,46.0,3561.0,617.0,22889.0,79830,5147136.0,63024.0,22063.0,96413,472976.0,63658.0,14590757.0,2389612,373.0,27783,30408.0,51616.0
2025-05-08T13:30:00.000-04:00:00,NE-MRBTS-660701,106733256.0,16837080,25003.0,108705,4972.0,15924.0,9935,46.0,3561.0,617.0,22889.0,79830,5147136.0,63024.0,22063.0,96413,472976.0,63658.0,14590757.0,2389612,373.0,27783,30408.0,51616.0
2025-05-08T13:30:00.000-04:00:00,NE-MRBTS-660701,106733256.0,16837080,25003.0,108705,4972.0,15924.0,9935,46.0,3561.0,617.0,22889.0,79830,5147136.0,63024.0,22063.0,96413,472976.0,63658.0,14590757.0,2389612,373.0,27783,30408.0,51616.0
2025-05-08T13:45:00.000-04:00:00,NE-MRBTS-660701,865799176.0,28720656,136000.0,144759,9478.0,94431.0,40427,195.0,6318.0,1656.0,125907.0,75469,12421392.0,136273.0,129823.0,127489,1718888.0,166683.0,113684824.0,4340165,141.0,104986,39794.0,84472.0
