createAt,manageObject,M8046C0,M8046C1,M8046C2,M8046C4,M8046C3,M8046C5
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,4,232,32.0,325.0,11.0,16106.0
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,4,220,36.0,628.0,11.0,16106.0
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,4,220,36.0,628.0,11.0,16106.0
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,4,220,36.0,628.0,11.0,16106.0
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,4,220,36.0,628.0,11.0,16106.0
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,4,195,36.0,750.0,13.0,16103.0
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,4,195,36.0,750.0,13.0,16103.0
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,4,195,36.0,750.0,13.0,16103.0
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,4,195,36.0,750.0,13.0,16103.0
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,5,233,34.0,312.0,11.0,16116.0
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,5,233,34.0,312.0,11.0,16116.0
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,5,233,34.0,312.0,11.0,16116.0
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,5,233,34.0,312.0,11.0,16116.0
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-660701,4,234,41.0,372.0,10.0,16112.0
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-660701,4,234,41.0,372.0,10.0,16112.0
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-660701,4,234,41.0,372.0,10.0,16112.0
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-660701,4,234,41.0,372.0,10.0,16112.0
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-660701,4,212,56.0,756.0,12.0,16109.0
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-660701,4,212,56.0,756.0,12.0,16109.0
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-660701,4,212,56.0,756.0,12.0,16109.0
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-660701,4,212,56.0,756.0,12.0,16109.0
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-660701,3,212,48.0,664.0,12.0,16110.0
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-660701,3,212,48.0,664.0,12.0,16110.0
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-660701,3,212,48.0,664.0,12.0,16110.0
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-660701,3,212,48.0,664.0,12.0,16110.0
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-660701,4,214,40.0,600.0,11.0,16108.0
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-660701,4,214,40.0,600.0,11.0,16108.0
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-660701,4,214,40.0,600.0,11.0,16108.0
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-660701,4,214,40.0,600.0,11.0,16108.0
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-660701,4,219,53.0,756.0,12.0,16110.0
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-660701,4,219,53.0,756.0,12.0,16110.0
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-660701,4,219,53.0,756.0,12.0,16110.0
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-660701,4,219,53.0,756.0,12.0,16110.0
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-660701,4,134,23.0,690.0,9.0,16187.0
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-660701,4,134,23.0,690.0,9.0,16187.0
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-660701,4,134,23.0,690.0,9.0,16187.0
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-660701,4,134,23.0,690.0,9.0,16187.0
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-660701,3,58,63.0,637.0,14.0,16200.0
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-660701,3,58,63.0,637.0,14.0,16200.0
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-660701,3,58,63.0,637.0,14.0,16200.0
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-660701,3,58,63.0,637.0,14.0,16200.0
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-660701,2,32,6.0,279.0,10.0,16200.0
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-660701,2,32,6.0,279.0,10.0,16200.0
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-660701,2,32,6.0,279.0,10.0,16200.0
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-660701,2,32,6.0,279.0,10.0,16200.0
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-660701,2,33,6.0,256.0,9.0,16200.0
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-660701,2,33,6.0,256.0,9.0,16200.0
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-660701,2,33,6.0,256.0,9.0,16200.0
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-660701,2,33,6.0,256.0,9.0,16200.0
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-660701,2,20,32.0,311.0,11.0,16200.0
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-660701,2,20,32.0,311.0,11.0,16200.0
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-660701,2,20,32.0,311.0,11.0,16200.0
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-660701,2,20,32.0,311.0,11.0,16200.0
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-660701,2,27,5.0,236.0,11.0,16200.0
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-660701,2,27,5.0,236.0,11.0,16200.0
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-660701,2,27,5.0,236.0,11.0,16200.0
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-660701,2,27,5.0,236.0,11.0,16200.0
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-660701,2,15,8.0,78.0,8.0,16200.0
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-660701,2,15,8.0,78.0,8.0,16200.0
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-660701,2,15,8.0,78.0,8.0,16200.0
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-660701,2,15,8.0,78.0,8.0,16200.0
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-660701,2,6,32.0,83.0,8.0,16200.0
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-660701,2,6,32.0,83.0,8.0,16200.0
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-660701,2,6,32.0,83.0,8.0,16200.0
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-660701,2,6,32.0,83.0,8.0,16200.0
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-660701,1,8,3.0,4.0,8.0,16200.0
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-660701,1,8,3.0,4.0,8.0,16200.0
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-660701,1,8,3.0,4.0,8.0,16200.0
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-660701,1,8,3.0,4.0,8.0,16200.0
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-660701,1,4,4.0,13.0,9.0,16200.0
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-660701,1,4,4.0,13.0,9.0,16200.0
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-660701,1,4,4.0,13.0,9.0,16200.0
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-660701,1,4,4.0,13.0,9.0,16200.0
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-660701,2,11,4.0,88.0,11.0,16200.0
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-660701,2,11,4.0,88.0,11.0,16200.0
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-660701,2,11,4.0,88.0,11.0,16200.0
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-660701,2,11,4.0,88.0,11.0,16200.0
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-660701,2,8,4.0,77.0,10.0,16200.0
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-660701,2,8,4.0,77.0,10.0,16200.0
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-660701,2,8,4.0,77.0,10.0,16200.0
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-660701,2,8,4.0,77.0,10.0,16200.0
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-660701,1,9,7.0,81.0,9.0,16200.0
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-660701,1,9,7.0,81.0,9.0,16200.0
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-660701,1,9,7.0,81.0,9.0,16200.0
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-660701,1,9,7.0,81.0,9.0,16200.0
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-660701,1,6,12.0,77.0,8.0,16200.0
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-660701,1,6,12.0,77.0,8.0,16200.0
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-660701,1,6,12.0,77.0,8.0,16200.0
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-660701,1,6,12.0,77.0,8.0,16200.0
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-660701,1,15,25.0,260.0,12.0,16200.0
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-660701,1,15,25.0,260.0,12.0,16200.0
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-660701,1,15,25.0,260.0,12.0,16200.0
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-660701,1,15,25.0,260.0,12.0,16200.0
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-660701,1,12,10.0,322.0,10.0,16200.0
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-660701,1,12,10.0,322.0,10.0,16200.0
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-660701,1,12,10.0,322.0,10.0,16200.0
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-660701,1,12,10.0,322.0,10.0,16200.0
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-660701,3,17,7.0,161.0,9.0,16200.0
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-660701,3,17,7.0,161.0,9.0,16200.0
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-660701,3,17,7.0,161.0,9.0,16200.0
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-660701,3,17,7.0,161.0,9.0,16200.0
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-660701,1,3,6.0,18.0,8.0,16200.0
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-660701,1,3,6.0,18.0,8.0,16200.0
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-660701,1,3,6.0,18.0,8.0,16200.0
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-660701,1,3,6.0,18.0,8.0,16200.0
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-660701,1,4,4.0,6.0,8.0,16200.0
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-660701,1,4,4.0,6.0,8.0,16200.0
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-660701,1,4,4.0,6.0,8.0,16200.0
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-660701,1,4,4.0,6.0,8.0,16200.0
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-660701,1,10,4.0,153.0,9.0,16200.0
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-660701,1,10,4.0,153.0,9.0,16200.0
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-660701,1,10,4.0,153.0,9.0,16200.0
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-660701,1,10,4.0,153.0,9.0,16200.0
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-660701,1,30,10.0,701.0,10.0,16200.0
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-660701,1,30,10.0,701.0,10.0,16200.0
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-660701,1,30,10.0,701.0,10.0,16200.0
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-660701,1,30,10.0,701.0,10.0,16200.0
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-660701,2,26,16.0,678.0,10.0,16200.0
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-660701,2,26,16.0,678.0,10.0,16200.0
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-660701,2,26,16.0,678.0,10.0,16200.0
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-660701,2,26,16.0,678.0,10.0,16200.0
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-660701,2,10,17.0,85.0,13.0,16200.0
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-660701,2,10,17.0,85.0,13.0,16200.0
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-660701,2,10,17.0,85.0,13.0,16200.0
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-660701,2,10,17.0,85.0,13.0,16200.0
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-660701,2,17,22.0,291.0,12.0,16200.0
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-660701,2,17,22.0,291.0,12.0,16200.0
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-660701,2,17,22.0,291.0,12.0,16200.0
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-660701,2,17,22.0,291.0,12.0,16200.0
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-660701,2,12,5.0,76.0,9.0,16200.0
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-660701,2,12,5.0,76.0,9.0,16200.0
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-660701,2,12,5.0,76.0,9.0,16200.0
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-660701,2,12,5.0,76.0,9.0,16200.0
2025-05-07T03:45:00.000-04:00:00,NE-MRBTS-660701,1,5,19.0,78.0,8.0,16200.0
2025-05-07T03:45:00.000-04:00:00,NE-MRBTS-660701,1,5,19.0,78.0,8.0,16200.0
2025-05-07T03:45:00.000-04:00:00,NE-MRBTS-660701,1,5,19.0,78.0,8.0,16200.0
2025-05-07T03:45:00.000-04:00:00,NE-MRBTS-660701,1,5,19.0,78.0,8.0,16200.0
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-660701,1,16,32.0,280.0,12.0,16200.0
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-660701,1,16,32.0,280.0,12.0,16200.0
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-660701,1,16,32.0,280.0,12.0,16200.0
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-660701,1,16,32.0,280.0,12.0,16200.0
2025-05-07T04:15:00.000-04:00:00,NE-MRBTS-660701,1,7,5.0,72.0,9.0,16200.0
2025-05-07T04:15:00.000-04:00:00,NE-MRBTS-660701,1,7,5.0,72.0,9.0,16200.0
2025-05-07T04:15:00.000-04:00:00,NE-MRBTS-660701,1,7,5.0,72.0,9.0,16200.0
2025-05-07T04:15:00.000-04:00:00,NE-MRBTS-660701,1,7,5.0,72.0,9.0,16200.0
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-660701,2,14,4.0,80.0,10.0,16200.0
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-660701,2,14,4.0,80.0,10.0,16200.0
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-660701,2,14,4.0,80.0,10.0,16200.0
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-660701,2,14,4.0,80.0,10.0,16200.0
2025-05-07T04:45:00.000-04:00:00,NE-MRBTS-660701,2,33,5.0,222.0,10.0,16200.0
2025-05-07T04:45:00.000-04:00:00,NE-MRBTS-660701,2,33,5.0,222.0,10.0,16200.0
2025-05-07T04:45:00.000-04:00:00,NE-MRBTS-660701,2,33,5.0,222.0,10.0,16200.0
2025-05-07T04:45:00.000-04:00:00,NE-MRBTS-660701,2,33,5.0,222.0,10.0,16200.0
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-660701,1,7,16.0,80.0,8.0,16200.0
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-660701,1,7,16.0,80.0,8.0,16200.0
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-660701,1,7,16.0,80.0,8.0,16200.0
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-660701,1,7,16.0,80.0,8.0,16200.0
2025-05-07T05:15:00.000-04:00:00,NE-MRBTS-660701,3,31,8.0,299.0,9.0,16200.0
2025-05-07T05:15:00.000-04:00:00,NE-MRBTS-660701,3,31,8.0,299.0,9.0,16200.0
2025-05-07T05:15:00.000-04:00:00,NE-MRBTS-660701,3,31,8.0,299.0,9.0,16200.0
2025-05-07T05:15:00.000-04:00:00,NE-MRBTS-660701,3,31,8.0,299.0,9.0,16200.0
2025-05-07T05:30:00.000-04:00:00,NE-MRBTS-660701,2,31,5.0,298.0,10.0,16208.0
2025-05-07T05:30:00.000-04:00:00,NE-MRBTS-660701,2,31,5.0,298.0,10.0,16208.0
2025-05-07T05:30:00.000-04:00:00,NE-MRBTS-660701,2,31,5.0,298.0,10.0,16208.0
2025-05-07T05:30:00.000-04:00:00,NE-MRBTS-660701,2,31,5.0,298.0,10.0,16208.0
2025-05-07T05:45:00.000-04:00:00,NE-MRBTS-660701,5,229,50.0,760.0,11.0,16306.0
2025-05-07T05:45:00.000-04:00:00,NE-MRBTS-660701,5,229,50.0,760.0,11.0,16306.0
2025-05-07T05:45:00.000-04:00:00,NE-MRBTS-660701,5,229,50.0,760.0,11.0,16306.0
2025-05-07T05:45:00.000-04:00:00,NE-MRBTS-660701,5,229,50.0,760.0,11.0,16306.0
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-660701,8,468,36.0,569.0,11.0,16316.0
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-660701,8,468,36.0,569.0,11.0,16316.0
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-660701,8,468,36.0,569.0,11.0,16316.0
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-660701,8,468,36.0,569.0,11.0,16316.0
