createAt,manageObject,M8205C2,M8205C0,M8205C1,M8205C6,M8205C14,M8205C4,M8205C32,M8205C11,M8205C12,M8205C21
2025-05-07T23:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T23:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T23:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T00:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T00:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T00:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T01:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T01:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T01:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T02:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T02:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T02:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T03:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T03:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T03:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T04:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T04:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T04:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T05:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T05:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T05:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T06:00:00.000-03:00:00,NE-MRBTS-690204,4,-109,-109.0,,,,1.0,,,
2025-05-08T06:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T06:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T07:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T07:15:00.000-03:00:00,NE-MRBTS-690204,4,-109,-109.0,,,,,,13.0,
2025-05-08T07:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T08:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T08:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T08:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T09:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T09:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T09:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T11:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T12:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T12:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T12:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T13:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T13:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T13:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T14:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T14:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T14:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T15:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T15:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T15:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T16:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T16:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T16:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
