createAt,manageObject,M8014C0,M8014C6,M8014C7,M8014C8,M8014C2,M8014C5,M8014C14,M8014C17,M8014C18,M8014C19,M8014C15
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-690501,4.0,4.0,4.0,,,,,,,,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-690501,4.0,4.0,4.0,,,,,,,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,,,,,,,,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,1.0,1.0,,,,,,,
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,,,,,,,,
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-690501,15.0,15.0,12.0,,,,,,,,
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-690501,7.0,7.0,4.0,,,,,,,,
2025-05-07T07:15:00.000-04:00:00,NE-MRBTS-690501,4.0,4.0,2.0,2.0,,,,,,,
2025-05-07T07:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,,,,,,,,
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-690501,34.0,33.0,29.0,,1.0,,,,,,
2025-05-07T08:15:00.000-04:00:00,NE-MRBTS-690501,40.0,40.0,31.0,1.0,,,,,,,
2025-05-07T08:30:00.000-04:00:00,NE-MRBTS-690501,67.0,64.0,50.0,1.0,3.0,,,,,,
2025-05-07T09:00:00.000-04:00:00,NE-MRBTS-690501,28.0,28.0,24.0,2.0,,,,,,,
2025-05-07T09:15:00.000-04:00:00,NE-MRBTS-690501,25.0,24.0,17.0,2.0,1.0,,,,,,
2025-05-07T09:30:00.000-04:00:00,NE-MRBTS-690501,37.0,37.0,26.0,2.0,,,,,,,
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-690501,37.0,36.0,22.0,6.0,1.0,,,,,,
2025-05-07T10:15:00.000-04:00:00,NE-MRBTS-690501,45.0,45.0,36.0,1.0,,,,,,,
2025-05-07T10:30:00.000-04:00:00,NE-MRBTS-690501,28.0,28.0,22.0,1.0,,,,,,,
2025-05-07T11:00:00.000-04:00:00,NE-MRBTS-690501,14.0,14.0,10.0,1.0,,,,,,,
2025-05-07T11:15:00.000-04:00:00,NE-MRBTS-690501,17.0,17.0,13.0,1.0,,,,,,,
