createAt,manageObject,M8204C22,M8204C59,M8204C62,M8204C111,M8204C119,M8204C94,M8204C95,M8204C56,M8204C74,M8204C10,M8204C23,M8204C32,M8204C33,M8204C48,M8204C49,M8204C50,M8204C65,M8204C66,M8204C67,M8204C68,M8204C69,M8204C99,M8204C103,M8204C107,M8204C115,M8204C88,M8204C51
2025-05-08T05:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T05:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629968,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T05:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T06:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146660,630024,1.0,1.0,185.0,2.0,28.0,1.0,19.0,,28.0,,,22.0,492.0,28.0,19.0,456.0,1068.0,158.0,1968.0,50.0,1.0,
2025-05-08T06:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629984,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T06:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629992,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T07:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T07:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,149648,630032,337.0,337.0,454.0,18.0,162.0,13.0,94.0,,162.0,,,193.0,3880.0,167.0,149.0,3728.0,8592.0,2076.0,15520.0,360.0,1.0,
2025-05-08T07:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T08:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T08:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630000,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T08:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630008,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T09:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T09:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629968,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T09:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630024,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629984,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629992,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630032,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T11:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T12:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T12:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630000,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T12:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630008,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T13:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T13:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629968,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T13:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T14:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630024,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T14:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629984,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T14:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629992,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T15:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T15:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630032,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T15:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T16:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T16:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630000,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T16:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630008,,,,,,,,,,,,,,,,,,,,,,
