createAt,manageObject,M8029C207,M8029C209,M8029C210,M8029C211,M8029C31,M8029C32,M8029C186,M8029C187,M8029C188,M8029C189,M8029C190,M8029C191,M8029C192,M8029C193,M8029C194,M8029C196,M8029C198,M8029C199,M8029C200,M8029C201,M8029C202,M8029C203,M8029C204,M8029C205,M8029C224,M8029C195,M8029C197,M8029C208
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-660701,23.0,19.0,3593.0,100,3.0,58.0,194.0,664.0,585.0,606.0,28.0,39.0,32.0,22.0,,,166.0,625.0,553.0,584.0,28.0,36.0,32.0,22.0,90000,,,
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-660701,17.0,19.0,2126.0,100,2.0,47.0,8.0,11.0,1.0,6.0,1.0,1.0,,2.0,,,7.0,6.0,1.0,4.0,1.0,1.0,,2.0,90000,1.0,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-660701,17.0,12.0,1617.0,100,1.0,38.0,3.0,,2.0,2.0,,,,,,,3.0,,2.0,2.0,,,,,90000,,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-660701,13.0,10.0,1280.0,100,1.0,40.0,30.0,31.0,25.0,5.0,4.0,2.0,5.0,,,,24.0,29.0,20.0,5.0,2.0,2.0,5.0,,90000,,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-660701,19.0,8.0,3796.0,100,,37.0,10.0,16.0,12.0,8.0,4.0,3.0,2.0,3.0,,,6.0,13.0,10.0,5.0,4.0,3.0,2.0,3.0,90000,,,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-660701,12.0,14.0,3548.0,100,1.0,43.0,6.0,19.0,14.0,10.0,,2.0,3.0,,,,6.0,14.0,11.0,10.0,,2.0,3.0,,90000,1.0,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-660701,8.0,7.0,1493.0,100,,33.0,4.0,5.0,7.0,7.0,1.0,,,,,1.0,3.0,5.0,4.0,3.0,1.0,,,,90000,,1.0,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-660701,7.0,6.0,623.0,100,,39.0,2.0,2.0,3.0,,,,,,,,2.0,2.0,3.0,,,,,,90000,,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-660701,8.0,6.0,762.0,100,,31.0,1.0,4.0,7.0,1.0,,,1.0,,,,1.0,4.0,6.0,1.0,,,1.0,,90000,,,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-660701,10.0,,772.0,100,,22.0,5.0,2.0,4.0,3.0,,,,,,,5.0,2.0,4.0,3.0,,,,,90000,,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-660701,15.0,6.0,223.0,100,,32.0,2.0,1.0,2.0,,,,,,,,2.0,1.0,2.0,,,,,,90000,,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-660701,12.0,5.0,105.0,100,,32.0,1.0,2.0,,,,,,,,,1.0,2.0,,,,,,,90000,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-660701,10.0,4.0,289.0,100,,31.0,,3.0,9.0,6.0,,,,,,,,3.0,9.0,6.0,,,,,90000,,,
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-660701,8.0,4.0,895.0,100,,29.0,,4.0,2.0,,,,,,,,,4.0,2.0,,,,,,90000,,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-660701,25.0,8.0,2207.0,100,,35.0,1.0,4.0,,1.0,,,,,,,1.0,4.0,,1.0,,,,,90000,,,
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-660701,17.0,4.0,5846.0,100,,27.0,15.0,21.0,18.0,14.0,,,,,,,15.0,21.0,18.0,14.0,,,,,90000,,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-660701,7.0,9.0,5731.0,100,,54.0,3.0,6.0,13.0,5.0,,,,,,,3.0,6.0,13.0,5.0,,,,,90000,,,
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-660701,7.0,3.0,6204.0,100,,24.0,1.0,2.0,,2.0,,,,,,,1.0,2.0,,2.0,,,,,90000,,,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-660701,9.0,2.0,4004.0,100,,22.0,,,,,,,,,,,,,,,,,,,90000,,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-660701,12.0,5.0,524.0,100,,31.0,,,,,,,,,,,,,,,,,,,90000,,,
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-660701,15.0,12.0,537.0,100,,43.0,5.0,9.0,7.0,5.0,,,,,1.0,,1.0,9.0,7.0,5.0,,,,,90000,,,
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-660701,12.0,8.0,804.0,100,2.0,36.0,,2.0,3.0,1.0,,,,,,,,2.0,3.0,1.0,,,,,90000,,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-660701,9.0,7.0,1865.0,100,,34.0,,1.0,,,,,,,,,,1.0,,,,,,,90000,,,
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-660701,10.0,10.0,2126.0,100,,40.0,7.0,9.0,2.0,9.0,1.0,,,,,,6.0,5.0,2.0,6.0,1.0,,,,90000,1.0,1.0,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-660701,9.0,8.0,1250.0,100,,29.0,8.0,15.0,5.0,9.0,,,1.0,4.0,,,8.0,15.0,4.0,5.0,,,1.0,4.0,90000,,,
2025-05-07T03:45:00.000-04:00:00,NE-MRBTS-660701,8.0,4.0,2514.0,100,,27.0,,,1.0,,,,,,,,,,1.0,,,,,,90000,,,
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-660701,10.0,7.0,3141.0,100,,32.0,12.0,6.0,8.0,2.0,,,,,1.0,,8.0,6.0,8.0,2.0,,,,,90000,,,
2025-05-07T04:15:00.000-04:00:00,NE-MRBTS-660701,9.0,4.0,5058.0,100,,26.0,2.0,4.0,1.0,,,,,,,,2.0,4.0,1.0,,,,,,90000,,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-660701,8.0,4.0,1429.0,100,,38.0,6.0,7.0,1.0,1.0,,,,,,,6.0,7.0,1.0,1.0,,,,,90000,,,
2025-05-07T04:45:00.000-04:00:00,NE-MRBTS-660701,14.0,14.0,1137.0,100,2.0,50.0,1.0,6.0,3.0,1.0,,,,,,,1.0,6.0,3.0,1.0,,,,,90000,,,
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-660701,6.0,4.0,950.0,100,,31.0,4.0,7.0,1.0,,,,,,,,4.0,7.0,1.0,,,,,,90000,,,
2025-05-07T05:15:00.000-04:00:00,NE-MRBTS-660701,13.0,11.0,796.0,100,1.0,66.0,3.0,4.0,,4.0,1.0,1.0,,1.0,,,2.0,3.0,,3.0,1.0,1.0,,1.0,90000,,,
2025-05-07T05:30:00.000-04:00:00,NE-MRBTS-660701,14.0,12.0,593.0,100,,54.0,1.0,6.0,3.0,,,2.0,1.0,,,,1.0,4.0,2.0,,,2.0,1.0,,90000,,,
2025-05-07T05:45:00.000-04:00:00,NE-MRBTS-660701,22.0,36.0,427.0,100,18.0,110.0,618.0,529.0,441.0,471.0,120.0,72.0,47.0,61.0,,,495.0,457.0,394.0,410.0,109.0,68.0,43.0,60.0,90000,,,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-660701,22.0,63.0,910.0,100,34.0,185.0,1016.0,1356.0,1178.0,1283.0,161.0,157.0,118.0,105.0,,,854.0,1187.0,1060.0,1173.0,151.0,150.0,114.0,100.0,90000,2.0,1.0,
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-660701,18.0,75.0,637.0,100,18.0,200.0,113.0,136.0,122.0,125.0,21.0,26.0,16.0,8.0,,1.0,88.0,106.0,99.0,108.0,20.0,21.0,15.0,8.0,90000,,,
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-660701,19.0,79.0,1374.0,100,27.0,201.0,799.0,520.0,361.0,241.0,192.0,83.0,66.0,38.0,1.0,3.0,585.0,417.0,282.0,203.0,166.0,72.0,55.0,34.0,90000,,,
