createAt,manageObject,M8051C11,M8051C16,M8051C17,M8051C23,M8051C24,M8051C34,M8051C44,M8051C52,M8051C54,M8051C55,M8051C56,M8051C57,M8051C58,M8051C60,M8051C61,M8051C62,M8051C63,M8051C64,M8051C65,M8051C68,M8051C71,M8051C73,M8051C74,M8051C75,M8051C79,M8051C80,M8051C81,M8051C83,M8051C86,M8051C87,M8051C88,M8051C89,M8051C90,M8051C121,M8051C122,M8051C148,M8051C149,M8051C152,M8051C155,M8051C161,M8051C162,M8051C171,M8051C179,M8051C132,M8051C133,M8051C165,M8051C101,M8051C102,M8051C105,M8051C106,M8051C107,M8051C108,M8051C115,M8051C95,M8051C98,M8051C99,M8051C100,M8051C103,M8051C104,M8051C109,M8051C110,M8051C125,M8051C126,M8051C66,M8051C72,M8051C51,M8051C136,M8051C82,M8051C67,M8051C15,M8051C85,M8051C6,M8051C14,M8051C31,M8051C37,M8051C41,M8051C47,M8051C70,M8051C159,M8051C160,M8051C8,M8051C50,M8051C153,M8051C1,M8051C46,M8051C36,M8051C40,M8051C91,M8051C0,M8051C9,M8051C180,M8051C4
2025-05-06T15:00:00.000-03:00:00,NE-MRBTS-690204,1.0,,,1.0,,1.0,1.0,1.0,22.0,20.0,27.0,19.0,26.0,17605.0,900,17488.0,900,19.0,19.0,1.0,22.0,,,,26.0,26.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,,,,26.0,,1.0,,,,1964.0,27.0,27.0,86749.0,900000,22896.0,900000,110.0,7.0,110.0,900,101.0,910872.0,900000,851078.0,900000,101.0,3.0,157.0,10.0,18.0,1.0,,,,,,,,,18.0,,25.0,,,,,,,,,,,,,,,,
2025-05-06T15:15:00.000-03:00:00,NE-MRBTS-690204,1.0,,,1.0,,1.0,1.0,1.0,39.0,19.0,25.0,19.0,25.0,17381.0,900,17300.0,900,19.0,19.0,1.0,39.0,,,,25.0,25.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,39.0,,,,25.0,,1.0,,,,1937.0,25.0,25.0,91570.0,900000,27296.0,900000,113.0,7.0,113.0,900,102.0,916863.0,900000,883778.0,900000,102.0,3.0,149.0,8.0,18.0,1.0,,,,,,,,,18.0,,24.0,1.0,,,,,,,,,,,,,,,
2025-05-06T15:30:00.000-03:00:00,NE-MRBTS-690204,1.0,,,2.0,,1.0,1.0,1.0,74.0,19.0,25.0,19.0,25.0,17381.0,900,17252.0,900,19.0,19.0,1.0,74.0,1.0,,1.0,25.0,25.0,24.0,1.0,2.0,1.0,2.0,1.0,2.0,74.0,,,,25.0,,1.0,,,,1939.0,26.0,26.0,119376.0,900000,43176.0,900000,114.0,10.0,114.0,900,103.0,929007.0,900000,872885.0,900000,103.0,5.0,168.0,10.0,18.0,1.0,,,,,,,1.0,1.0,17.0,1.0,24.0,1.0,,,,,,,,,,,,,,,
2025-05-06T16:00:00.000-03:00:00,NE-MRBTS-690204,1.0,,,2.0,,1.0,1.0,1.0,121.0,18.0,23.0,18.0,23.0,16327.0,900,16236.0,900,18.0,18.0,1.0,121.0,1.0,,1.0,23.0,23.0,22.0,1.0,2.0,1.0,2.0,1.0,2.0,121.0,,,,23.0,,1.0,,,,1821.0,23.0,23.0,105266.0,900000,43326.0,900000,114.0,8.0,114.0,900,101.0,908136.0,900000,888998.0,900000,101.0,3.0,157.0,9.0,17.0,1.0,,,,,,,1.0,1.0,16.0,1.0,21.0,1.0,,,,,,,,,,,,,,,
2025-05-06T16:15:00.000-03:00:00,NE-MRBTS-690204,1.0,,,3.0,,1.0,1.0,1.0,149.0,15.0,21.0,15.0,21.0,13381.0,900,13190.0,900,15.0,15.0,1.0,149.0,1.0,,1.0,21.0,21.0,20.0,1.0,3.0,1.0,3.0,1.0,3.0,149.0,,,,21.0,,1.0,,,,1492.0,22.0,22.0,80032.0,900000,37395.0,900000,112.0,7.0,112.0,900,102.0,917698.0,900000,894559.0,900000,102.0,4.0,170.0,9.0,13.0,1.0,,,,,,,1.0,1.0,12.0,1.0,18.0,2.0,,,,,,,,,,,,,,,
2025-05-06T16:30:00.000-03:00:00,NE-MRBTS-690204,1.0,,,3.0,,1.0,1.0,1.0,176.0,12.0,18.0,12.0,18.0,10915.0,900,10653.0,900,12.0,12.0,1.0,176.0,2.0,,2.0,18.0,18.0,17.0,1.0,3.0,1.0,3.0,1.0,3.0,176.0,,,,18.0,,1.0,,,,1220.0,18.0,18.0,68631.0,900000,28764.0,900000,111.0,8.0,111.0,900,101.0,911619.0,900000,890768.0,900000,101.0,3.0,158.0,8.0,10.0,1.0,,,,,,,1.0,1.0,9.0,1.0,16.0,2.0,,,,,,,,,,,,,,,
2025-05-06T17:00:00.000-03:00:00,NE-MRBTS-690204,1.0,,,3.0,,1.0,1.0,1.0,180.0,12.0,17.0,11.0,16.0,10429.0,900,10342.0,900,11.0,11.0,1.0,180.0,2.0,,2.0,16.0,16.0,14.0,1.0,3.0,1.0,3.0,1.0,3.0,180.0,,,,16.0,,1.0,,,,1166.0,18.0,18.0,127591.0,900000,71447.0,900000,113.0,6.0,113.0,900,101.0,906532.0,900000,889909.0,900000,101.0,3.0,147.0,7.0,10.0,1.0,,,,,,,1.0,1.0,9.0,1.0,13.0,2.0,,,,,,,,,,,,,,,
2025-05-06T17:15:00.000-03:00:00,NE-MRBTS-690204,1.0,1.0,,3.0,,1.0,1.0,1.0,210.0,12.0,17.0,12.0,16.0,10509.0,900,10407.0,900,12.0,12.0,1.0,210.0,2.0,1.0,2.0,16.0,16.0,14.0,1.0,3.0,1.0,3.0,1.0,3.0,210.0,,,,16.0,1.0,1.0,1.0,,1.0,1175.0,17.0,17.0,77389.0,900000,21964.0,900000,108.0,6.0,108.0,900,101.0,762750.0,900000,733811.0,900000,101.0,3.0,143.0,11.0,10.0,1.0,,,,,,,1.0,1.0,9.0,1.0,13.0,2.0,,,,,,,,,,,,,,,
2025-05-06T17:30:00.000-03:00:00,NE-MRBTS-690204,1.0,,,2.0,,1.0,1.0,1.0,152.0,12.0,16.0,12.0,16.0,10563.0,900,10494.0,900,12.0,12.0,1.0,152.0,2.0,,2.0,16.0,16.0,15.0,1.0,2.0,1.0,2.0,1.0,2.0,152.0,,,,16.0,,1.0,,,,1181.0,17.0,17.0,182600.0,900000,126436.0,900000,110.0,7.0,110.0,900,103.0,72034.0,900000,40479.0,900000,103.0,3.0,147.0,7.0,11.0,1.0,,,,,,,1.0,1.0,10.0,1.0,14.0,2.0,,,,,,,,,,,,,,,
2025-05-06T18:00:00.000-03:00:00,NE-MRBTS-690204,1.0,1.0,,2.0,,1.0,1.0,1.0,120.0,13.0,21.0,13.0,17.0,11493.0,900,11297.0,900,13.0,13.0,1.0,120.0,1.0,1.0,1.0,17.0,17.0,15.0,1.0,2.0,1.0,2.0,1.0,2.0,120.0,,,,17.0,1.0,1.0,1.0,,1.0,1283.0,21.0,21.0,133681.0,900000,68391.0,900000,115.0,7.0,115.0,900,101.0,46936.0,900000,37216.0,900000,101.0,3.0,157.0,9.0,11.0,1.0,,,,,,,,,10.0,,15.0,1.0,,,,,,,,,,,,,,,
