createAt,manageObject,M8026C4,M8026C23,M8026C29,M8026C254,M8026C284,M8026C287,M8026C38,M8026C273,M8026C274,M8026C275,M8026C276,M8026C277,M8026C278,M8026C288,M8026C289,M8026C285,M8026C286,M8026C291,M8026C292,M8026C293,M8026C294,M8026C300
2025-05-07T06:30:00.000-03:00:00,NE-MRBTS-690204,,3189.0,3182.0,,2070.0,2070.0,10.0,3842,5386.0,42.0,223.0,426.0,450.0,364.0,249.0,16202,5399,85620.0,127.0,579.0,364.0,817942
2025-05-07T07:00:00.000-03:00:00,NE-MRBTS-690204,1.0,2740.0,2699.0,1.0,1936.0,1936.0,9.0,4276,4596.0,68.0,142.0,425.0,377.0,370.0,224.0,25827,5309,137194.0,754.0,775.0,348.0,734805
2025-05-07T07:15:00.000-03:00:00,NE-MRBTS-690204,,5414.0,4825.0,,2775.0,2775.0,10.0,4502,7488.0,60.0,310.0,375.0,468.0,323.0,234.0,20722,6868,98809.0,75.0,941.0,350.0,803526
2025-05-07T07:30:00.000-03:00:00,NE-MRBTS-690204,3.0,10589.0,8812.0,3.0,4127.0,4127.0,12.0,4630,13761.0,71.0,948.0,455.0,970.0,396.0,474.0,29050,9391,80514.0,79.0,1205.0,302.0,827844
2025-05-07T08:00:00.000-03:00:00,NE-MRBTS-690204,1.0,3253.0,2923.0,1.0,2021.0,2021.0,9.0,4080,5366.0,41.0,214.0,386.0,296.0,335.0,204.0,16308,5395,87082.0,102.0,777.0,212.0,816629
2025-05-07T08:15:00.000-03:00:00,NE-MRBTS-690204,1.0,4853.0,4180.0,1.0,2419.0,2419.0,12.0,4687,8276.0,77.0,597.0,497.0,414.0,424.0,130.0,18109,5895,101177.0,220.0,740.0,798.0,804848
2025-05-07T08:30:00.000-03:00:00,NE-MRBTS-690204,,5396.0,4760.0,,2879.0,2879.0,10.0,4031,9523.0,37.0,673.0,420.0,521.0,365.0,176.0,20337,6775,18084.0,92.0,740.0,83.0,175878
2025-05-07T09:00:00.000-03:00:00,NE-MRBTS-690204,,5970.0,5237.0,,2750.0,2750.0,18.0,5055,10997.0,294.0,985.0,370.0,677.0,347.0,452.0,24542,7712,2914.0,32.0,869.0,112.0,18441
2025-05-07T09:15:00.000-03:00:00,NE-MRBTS-690204,,8131.0,6795.0,,3042.0,3042.0,16.0,4408,15149.0,89.0,1309.0,377.0,1228.0,316.0,292.0,24346,7906,12961.0,480.0,987.0,1360.0,36313
2025-05-07T09:30:00.000-03:00:00,NE-MRBTS-690204,2.0,4832.0,4727.0,2.0,2333.0,2333.0,12.0,4084,9402.0,32.0,739.0,453.0,554.0,365.0,231.0,21618,6487,9419.0,223.0,1048.0,1082.0,27502
2025-05-07T10:00:00.000-03:00:00,NE-MRBTS-690204,,3746.0,3692.0,,2019.0,2019.0,11.0,4109,7465.0,77.0,483.0,420.0,605.0,361.0,305.0,18493,5975,8264.0,383.0,709.0,1906.0,20405
2025-05-07T10:15:00.000-03:00:00,NE-MRBTS-690204,1.0,3621.0,3281.0,1.0,1880.0,1880.0,11.0,3917,6436.0,73.0,422.0,354.0,410.0,310.0,278.0,17713,5810,4635.0,48.0,721.0,555.0,17513
2025-05-07T10:30:00.000-03:00:00,NE-MRBTS-690204,,8259.0,7810.0,,2946.0,2946.0,13.0,4274,15269.0,66.0,1493.0,389.0,1044.0,332.0,390.0,31412,7114,11168.0,244.0,862.0,1421.0,37477
2025-05-07T11:00:00.000-03:00:00,NE-MRBTS-690204,,1512.0,1401.0,,1241.0,1241.0,8.0,3907,2714.0,32.0,27.0,360.0,180.0,307.0,144.0,13952,4649,1473.0,20.0,735.0,62.0,8016
2025-05-07T11:15:00.000-03:00:00,NE-MRBTS-690204,,1412.0,1267.0,,1157.0,1157.0,8.0,3573,2530.0,30.0,17.0,400.0,220.0,354.0,174.0,12852,4268,1107.0,5.0,729.0,57.0,6066
2025-05-07T11:30:00.000-03:00:00,NE-MRBTS-690204,,1437.0,1339.0,,1213.0,1213.0,8.0,3631,2608.0,45.0,22.0,361.0,198.0,311.0,168.0,13024,4327,891.0,1.0,684.0,13.0,6205
2025-05-07T12:00:00.000-03:00:00,NE-MRBTS-690204,,2186.0,1992.0,,1452.0,1452.0,9.0,3614,3620.0,33.0,95.0,361.0,257.0,310.0,181.0,13848,4611,2098.0,112.0,663.0,313.0,8919
2025-05-07T12:15:00.000-03:00:00,NE-MRBTS-690204,,3358.0,3234.0,,1991.0,1991.0,12.0,3762,5517.0,33.0,286.0,396.0,217.0,352.0,175.0,16464,5428,1666.0,15.0,713.0,23.0,10795
2025-05-07T12:30:00.000-03:00:00,NE-MRBTS-690204,,1833.0,1861.0,,1542.0,1542.0,9.0,4123,3388.0,51.0,59.0,482.0,240.0,404.0,179.0,15702,5172,2769.0,35.0,737.0,172.0,11496
2025-05-07T13:00:00.000-03:00:00,NE-MRBTS-690204,,2117.0,2174.0,,1630.0,1630.0,9.0,4088,3642.0,34.0,94.0,387.0,124.0,310.0,92.0,18834,5306,1755.0,13.0,831.0,33.0,10463
2025-05-07T13:15:00.000-03:00:00,NE-MRBTS-690204,1.0,2854.0,2689.0,1.0,1882.0,1882.0,9.0,4357,4976.0,90.0,215.0,467.0,215.0,384.0,167.0,37873,6008,2355.0,21.0,903.0,55.0,11731
2025-05-07T13:30:00.000-03:00:00,NE-MRBTS-690204,,2237.0,2109.0,,1621.0,1621.0,9.0,4274,3771.0,40.0,105.0,451.0,151.0,377.0,109.0,16943,5607,2044.0,36.0,873.0,79.0,10768
2025-05-07T14:00:00.000-03:00:00,NE-MRBTS-690204,,1684.0,1664.0,,1382.0,1382.0,9.0,4444,3083.0,101.0,67.0,537.0,147.0,439.0,112.0,16576,5467,3741.0,109.0,763.0,673.0,11523
2025-05-07T14:15:00.000-03:00:00,NE-MRBTS-690204,5.0,1599.0,1545.0,5.0,1344.0,1344.0,8.0,3680,2992.0,41.0,34.0,379.0,196.0,323.0,154.0,13982,4617,1597.0,48.0,711.0,114.0,8173
2025-05-07T14:30:00.000-03:00:00,NE-MRBTS-690204,,3653.0,3689.0,,2135.0,2135.0,10.0,3771,5670.0,60.0,295.0,343.0,202.0,312.0,138.0,17767,5848,2822.0,66.0,751.0,97.0,14929
2025-05-07T15:00:00.000-03:00:00,NE-MRBTS-690204,,1658.0,1644.0,,1407.0,1407.0,8.0,3771,2969.0,57.0,42.0,395.0,164.0,326.0,122.0,14253,4749,1574.0,13.0,640.0,53.0,9084
2025-05-07T15:15:00.000-03:00:00,NE-MRBTS-690204,,1617.0,1603.0,,1415.0,1415.0,8.0,3792,2969.0,53.0,26.0,349.0,187.0,309.0,151.0,15167,4957,1687.0,19.0,699.0,116.0,8724
2025-05-07T15:30:00.000-03:00:00,NE-MRBTS-690204,,1666.0,1601.0,,1365.0,1365.0,8.0,3679,2918.0,32.0,31.0,325.0,195.0,283.0,163.0,14377,4754,1708.0,28.0,721.0,254.0,8963
2025-05-07T16:00:00.000-03:00:00,NE-MRBTS-690204,,2208.0,2167.0,,1599.0,1599.0,10.0,3615,4146.0,44.0,209.0,393.0,397.0,343.0,219.0,18827,4907,2399.0,47.0,688.0,126.0,11471
2025-05-07T16:15:00.000-03:00:00,NE-MRBTS-690204,,2295.0,2263.0,,1563.0,1563.0,9.0,3459,3906.0,45.0,159.0,395.0,350.0,310.0,261.0,18005,4679,1076.0,10.0,556.0,141.0,7803
2025-05-07T16:30:00.000-03:00:00,NE-MRBTS-690204,,2002.0,1977.0,,1309.0,1309.0,10.0,3312,3248.0,41.0,132.0,346.0,167.0,297.0,94.0,12328,4109,1067.0,24.0,511.0,93.0,7207
2025-05-07T17:00:00.000-03:00:00,NE-MRBTS-690204,,1977.0,1837.0,,1317.0,1317.0,9.0,2859,3171.0,28.0,94.0,285.0,233.0,240.0,144.0,11847,3936,724.0,2.0,485.0,17.0,5846
2025-05-07T17:15:00.000-03:00:00,NE-MRBTS-690204,,3637.0,4615.0,,2941.0,2941.0,10.0,2808,6854.0,28.0,310.0,281.0,445.0,231.0,209.0,18622,6200,1535.0,3.0,522.0,39.0,10938
2025-05-07T17:30:00.000-03:00:00,NE-MRBTS-690204,22.0,4632.0,4165.0,22.0,2052.0,2052.0,10.0,3048,7318.0,37.0,528.0,471.0,515.0,405.0,258.0,15591,5133,5415.0,127.0,420.0,454.0,18659
2025-05-07T18:00:00.000-03:00:00,NE-MRBTS-690204,,23360.0,6203.0,,2755.0,2755.0,13.0,2841,41675.0,35.0,5409.0,288.0,1393.0,237.0,136.0,17014,5656,8427.0,203.0,437.0,200.0,31424
2025-05-07T18:15:00.000-03:00:00,NE-MRBTS-690204,,19596.0,6630.0,,2119.0,2119.0,11.0,3079,17741.0,45.0,1315.0,325.0,844.0,261.0,675.0,15324,5107,1530.0,11.0,587.0,118.0,8727
2025-05-07T18:30:00.000-03:00:00,NE-MRBTS-690204,,1150.0,1085.0,,977.0,977.0,8.0,2865,2111.0,21.0,10.0,360.0,182.0,306.0,157.0,9915,3273,735.0,1.0,424.0,17.0,4938
2025-05-07T19:00:00.000-03:00:00,NE-MRBTS-690204,,1174.0,1166.0,,1044.0,1044.0,8.0,3073,2190.0,16.0,8.0,352.0,162.0,296.0,128.0,10113,3371,608.0,1.0,413.0,22.0,4558
2025-05-07T19:15:00.000-03:00:00,NE-MRBTS-690204,,952.0,902.0,,817.0,817.0,8.0,3079,1780.0,19.0,7.0,261.0,114.0,224.0,86.0,9370,3123,538.0,,409.0,12.0,4179
2025-05-07T19:30:00.000-03:00:00,NE-MRBTS-690204,,1387.0,1370.0,,1171.0,1171.0,8.0,3564,2538.0,22.0,25.0,517.0,211.0,420.0,176.0,12039,4008,1076.0,2.0,527.0,37.0,5831
2025-05-07T20:00:00.000-03:00:00,NE-MRBTS-690204,,1145.0,1075.0,,954.0,954.0,8.0,2501,2092.0,12.0,11.0,309.0,155.0,264.0,126.0,15060,3005,500.0,1.0,378.0,16.0,4235
2025-05-07T20:15:00.000-03:00:00,NE-MRBTS-690204,,1032.0,965.0,,850.0,850.0,8.0,2609,1825.0,24.0,11.0,304.0,159.0,271.0,135.0,8712,2904,431.0,4.0,321.0,10.0,3786
2025-05-07T20:30:00.000-03:00:00,NE-MRBTS-690204,,1000.0,925.0,,835.0,835.0,8.0,2629,1803.0,28.0,14.0,415.0,166.0,333.0,143.0,9308,3020,665.0,6.0,354.0,47.0,4112
2025-05-07T21:00:00.000-03:00:00,NE-MRBTS-690204,,962.0,842.0,,753.0,753.0,8.0,2661,1667.0,42.0,9.0,388.0,176.0,317.0,147.0,8502,2821,518.0,1.0,376.0,11.0,3701
2025-05-07T21:15:00.000-03:00:00,NE-MRBTS-690204,,849.0,809.0,,738.0,738.0,8.0,2563,1546.0,31.0,5.0,374.0,130.0,298.0,100.0,8488,2829,540.0,3.0,351.0,17.0,3840
2025-05-07T21:30:00.000-03:00:00,NE-MRBTS-690204,,648.0,726.0,,664.0,664.0,8.0,2529,1248.0,15.0,6.0,295.0,40.0,220.0,35.0,7951,2639,448.0,,299.0,39.0,3364
2025-05-07T22:00:00.000-03:00:00,NE-MRBTS-690204,,1299.0,1216.0,,878.0,878.0,9.0,2725,2110.0,25.0,45.0,283.0,130.0,236.0,108.0,9624,3208,701.0,,460.0,11.0,4523
2025-05-07T22:15:00.000-03:00:00,NE-MRBTS-690204,,951.0,897.0,,826.0,826.0,8.0,3304,1758.0,37.0,8.0,506.0,125.0,419.0,102.0,19532,3349,980.0,7.0,442.0,98.0,5646
2025-05-07T22:30:00.000-03:00:00,NE-MRBTS-690204,,2859.0,2595.0,,1346.0,1346.0,9.0,3323,3629.0,28.0,74.0,345.0,37.0,289.0,33.0,12179,4057,997.0,3.0,400.0,23.0,8311
2025-05-07T23:00:00.000-03:00:00,NE-MRBTS-690204,,1788.0,1858.0,,1288.0,1288.0,9.0,3732,2788.0,48.0,35.0,699.0,185.0,622.0,141.0,21599,4263,1182.0,2.0,657.0,67.0,7733
2025-05-07T23:15:00.000-03:00:00,NE-MRBTS-690204,,1536.0,1594.0,,1191.0,1191.0,9.0,3897,2571.0,21.0,30.0,612.0,219.0,528.0,156.0,13240,4413,1047.0,5.0,708.0,52.0,7264
2025-05-07T23:30:00.000-03:00:00,NE-MRBTS-690204,,3743.0,3087.0,,1672.0,1672.0,10.0,3674,5248.0,25.0,382.0,545.0,220.0,476.0,170.0,24446,4948,1265.0,2.0,771.0,33.0,9234
2025-05-08T00:00:00.000-03:00:00,NE-MRBTS-690204,,1328.0,1314.0,,1159.0,1159.0,8.0,3309,2485.0,30.0,34.0,520.0,216.0,419.0,168.0,30743,3834,791.0,,591.0,30.0,6238
2025-05-08T00:15:00.000-03:00:00,NE-MRBTS-690204,,1874.0,1926.0,,1367.0,1367.0,9.0,3820,3170.0,16.0,67.0,606.0,245.0,505.0,172.0,13293,4419,1018.0,4.0,664.0,45.0,7512
2025-05-08T00:30:00.000-03:00:00,NE-MRBTS-690204,,1407.0,1397.0,,1119.0,1119.0,8.0,3084,2411.0,24.0,53.0,400.0,130.0,340.0,101.0,10989,3663,724.0,1.0,477.0,32.0,6302
2025-05-08T01:00:00.000-03:00:00,NE-MRBTS-690204,,1227.0,1226.0,,1048.0,1048.0,8.0,3172,2212.0,27.0,34.0,302.0,115.0,264.0,83.0,20727,3663,786.0,8.0,522.0,26.0,6019
2025-05-08T01:15:00.000-03:00:00,NE-MRBTS-690204,1.0,1519.0,1509.0,1.0,1252.0,1252.0,8.0,3391,2691.0,28.0,41.0,492.0,174.0,422.0,133.0,11443,3814,760.0,5.0,438.0,33.0,6316
2025-05-08T01:30:00.000-03:00:00,NE-MRBTS-690204,,4429.0,3310.0,,1474.0,1474.0,9.0,3541,5118.0,61.0,203.0,464.0,116.0,413.0,83.0,13059,4352,1255.0,19.0,476.0,72.0,9193
2025-05-08T02:00:00.000-03:00:00,NE-MRBTS-690204,,1395.0,1390.0,,1096.0,1096.0,8.0,2965,2411.0,21.0,35.0,342.0,149.0,298.0,118.0,10137,3379,591.0,1.0,339.0,14.0,6188
2025-05-08T02:15:00.000-03:00:00,NE-MRBTS-690204,,1675.0,1732.0,,1215.0,1215.0,8.0,3046,2715.0,17.0,53.0,331.0,177.0,279.0,144.0,13983,3641,802.0,,440.0,8.0,6821
2025-05-08T02:30:00.000-03:00:00,NE-MRBTS-690204,,1741.0,1812.0,,1181.0,1181.0,9.0,3152,2648.0,19.0,51.0,400.0,165.0,328.0,132.0,18098,3654,1144.0,12.0,386.0,44.0,8040
2025-05-08T03:00:00.000-03:00:00,NE-MRBTS-690204,,1287.0,1302.0,,1054.0,1054.0,8.0,2917,2176.0,27.0,41.0,312.0,138.0,263.0,102.0,9990,3323,716.0,8.0,386.0,144.0,5803
2025-05-08T03:15:00.000-03:00:00,NE-MRBTS-690204,,1528.0,1572.0,,1074.0,1074.0,8.0,3372,2457.0,23.0,29.0,365.0,162.0,309.0,129.0,23978,3647,1239.0,4.0,455.0,23.0,7508
2025-05-08T03:30:00.000-03:00:00,NE-MRBTS-690204,1.0,2693.0,2895.0,1.0,1508.0,1508.0,9.0,3255,3908.0,33.0,166.0,323.0,128.0,275.0,98.0,12686,4228,1679.0,24.0,481.0,18.0,10925
2025-05-08T04:00:00.000-03:00:00,NE-MRBTS-690204,,986.0,936.0,,854.0,854.0,8.0,2951,1835.0,16.0,14.0,326.0,134.0,270.0,109.0,15598,3046,533.0,,375.0,16.0,5031
