createAt,manageObject,M8038C0,M8038C1,M8038C2,M8038C3,M8038C4,M8038C5,M8038C26,M8038C27,M8038C44,M8038C45,M8038C53,M8038C6,M8038C7,M8038C50,M8038C79,M8038C80,M8038C8,M8038C9,M8038C49,M8038C56,M8038C76,M8038C77
2025-05-08T03:30:00.000-03:00:00,NE-MRBTS-771801,2699.0,900,2270560.0,6066.0,1262302.0,453.0,4748272.0,5642.0,10963792.0,1400.0,,22387.0,900000,47946.0,92.0,2.0,11616.0,900000,47733.0,100.0,95.0,3.0
2025-05-08T04:00:00.000-03:00:00,NE-MRBTS-771801,2398.0,900,3463805.0,4233.0,7085109.0,341.0,50007824.0,15771.0,18885384.0,1643.0,,22682.0,900000,65261.0,92.0,3.0,20267.0,900000,163190.0,105.0,100.0,9.0
2025-05-08T04:15:00.000-03:00:00,NE-MRBTS-771801,2165.0,900,478611.0,4000.0,569587.0,1645.0,2399136.0,2944.0,1667152.0,305.0,,10897.0,900000,14109.0,92.0,1.0,5076.0,900000,23208.0,100.0,80.0,1.0
2025-05-08T04:30:00.000-03:00:00,NE-MRBTS-771801,2377.0,900,2243000.0,4999.0,924783.0,417.0,4839824.0,5273.0,13068272.0,2570.0,,15428.0,900000,68385.0,92.0,3.0,7620.0,900000,31430.0,100.0,80.0,2.0
2025-05-08T05:00:00.000-03:00:00,NE-MRBTS-771801,2429.0,900,752187.0,6585.0,518653.0,511.0,2175480.0,2556.0,2892240.0,239.0,,15221.0,900000,18420.0,92.0,1.0,6277.0,900000,26918.0,101.0,95.0,2.0
2025-05-08T05:15:00.000-03:00:00,NE-MRBTS-771801,2055.0,900,576133.0,7496.0,349421.0,1885.0,1441920.0,1403.0,2372416.0,295.0,,8774.0,900000,14203.0,92.0,1.0,3368.0,900000,16296.0,100.0,80.0,1.0
2025-05-08T05:30:00.000-03:00:00,NE-MRBTS-771801,2670.0,900,4597166.0,8995.0,1198541.0,739.0,6589960.0,6087.0,28995872.0,2592.0,,24636.0,900000,81907.0,92.0,4.0,18394.0,900000,41060.0,100.0,95.0,2.0
2025-05-08T06:00:00.000-03:00:00,NE-MRBTS-771801,1946.0,900,15491015.0,6509.0,1118008.0,533.0,5365080.0,7360.0,111635992.0,11292.0,,27762.0,900000,270272.0,92.0,12.0,15490.0,900000,41496.0,100.0,80.0,2.0
2025-05-08T06:15:00.000-03:00:00,NE-MRBTS-771801,1575.0,900,55090021.0,6176.0,4118998.0,1749.0,26112192.0,25024.0,418468496.0,37799.0,1.0,50220.0,900000,838022.0,92.0,37.0,30755.0,900000,80023.0,100.0,80.0,5.0
2025-05-08T06:30:00.000-03:00:00,NE-MRBTS-771801,2075.0,900,1280565.0,6581.0,546958.0,611.0,2599216.0,2228.0,6217480.0,437.0,,11905.0,900000,25082.0,92.0,1.0,4642.0,900000,22630.0,100.0,80.0,1.0
