createAt,manageObject,M8072C0,M8072C5,M8072C7,M8072C10,M8072C11,M8072C12,M8072C34,M8072C8,M8072C2,M8072C4,M8072C13
2025-05-07T16:15:00.000-04:00:00,NE-MRBTS-690501,30,3.0,2.0,30,25.0,,291.0,,,,
2025-05-07T16:30:00.000-04:00:00,NE-MRBTS-690501,19,,3.0,18,15.0,,138.0,,1.0,,
2025-05-07T17:00:00.000-04:00:00,NE-MRBTS-690501,22,,3.0,22,18.0,,532.0,,,,
2025-05-07T17:15:00.000-04:00:00,NE-MRBTS-690501,2,,,2,3.0,,1216.0,,,,
2025-05-07T17:30:00.000-04:00:00,NE-MRBTS-690501,7,1.0,,7,5.0,1.0,660.0,,,,
2025-05-07T18:00:00.000-04:00:00,NE-MRBTS-690501,7,1.0,,7,6.0,,2359.0,,,,
2025-05-07T18:15:00.000-04:00:00,NE-MRBTS-690501,11,5.0,,11,6.0,,1045.0,,,,
2025-05-07T18:30:00.000-04:00:00,NE-MRBTS-690501,2,,,2,2.0,,1482.0,,,,
2025-05-07T19:00:00.000-04:00:00,NE-MRBTS-690501,41,16.0,1.0,41,24.0,,2229.0,,,,
2025-05-07T19:15:00.000-04:00:00,NE-MRBTS-690501,2,1.0,,2,1.0,,133.0,,,,
2025-05-07T19:30:00.000-04:00:00,NE-MRBTS-690501,13,5.0,1.0,13,7.0,,2010.0,,,,
2025-05-07T20:00:00.000-04:00:00,NE-MRBTS-690501,5,3.0,,5,2.0,,295.0,,,,
2025-05-07T20:15:00.000-04:00:00,NE-MRBTS-690501,3,,,3,3.0,,135.0,,,,
2025-05-07T20:30:00.000-04:00:00,NE-MRBTS-690501,8,,,2,2.0,,122.0,,6.0,,
2025-05-07T21:00:00.000-04:00:00,NE-MRBTS-690501,3,,,3,3.0,,126.0,,,,
2025-05-07T21:15:00.000-04:00:00,NE-MRBTS-690501,2,,,2,2.0,,129.0,,,,
2025-05-07T22:00:00.000-04:00:00,NE-MRBTS-690501,3,,,3,3.0,,132.0,,,,
2025-05-07T23:15:00.000-04:00:00,NE-MRBTS-690501,1,,,1,1.0,,125.0,,,,
2025-05-07T23:30:00.000-04:00:00,NE-MRBTS-690501,1,,,1,1.0,,385.0,,,,
2025-05-08T00:30:00.000-04:00:00,NE-MRBTS-690501,1,,,1,1.0,,119.0,,,,
2025-05-08T01:00:00.000-04:00:00,NE-MRBTS-690501,1,,,1,1.0,,127.0,,,,
2025-05-08T01:15:00.000-04:00:00,NE-MRBTS-690501,7,,,7,7.0,,2270.0,,,,
2025-05-08T01:30:00.000-04:00:00,NE-MRBTS-690501,3,,,3,2.0,1.0,2442.0,,,,
2025-05-08T02:00:00.000-04:00:00,NE-MRBTS-690501,1,,,1,1.0,,128.0,,,,
2025-05-08T02:15:00.000-04:00:00,NE-MRBTS-690501,3,,,3,3.0,,2510.0,,,,
2025-05-08T03:00:00.000-04:00:00,NE-MRBTS-690501,1,,,1,,1.0,,,,,
2025-05-08T04:00:00.000-04:00:00,NE-MRBTS-690501,3,,,3,3.0,,479.0,,,,
2025-05-08T05:15:00.000-04:00:00,NE-MRBTS-690501,1,,,1,1.0,,145.0,,,,
2025-05-08T05:30:00.000-04:00:00,NE-MRBTS-690501,3,,,3,3.0,,123.0,,,,
2025-05-08T06:15:00.000-04:00:00,NE-MRBTS-690501,5,,,5,3.0,2.0,189.0,,,,
2025-05-08T06:30:00.000-04:00:00,NE-MRBTS-690501,14,,,14,14.0,,118.0,,,,
2025-05-08T07:00:00.000-04:00:00,NE-MRBTS-690501,7,1.0,,7,6.0,,1239.0,,,,
2025-05-08T07:15:00.000-04:00:00,NE-MRBTS-690501,3,,,3,3.0,,1208.0,,,,
2025-05-08T07:30:00.000-04:00:00,NE-MRBTS-690501,8,,,8,8.0,,139.0,,,,
2025-05-08T08:00:00.000-04:00:00,NE-MRBTS-690501,10,2.0,,10,8.0,,1167.0,,,,
2025-05-08T08:15:00.000-04:00:00,NE-MRBTS-690501,30,10.0,,29,15.0,1.0,2133.0,1.0,1.0,,
2025-05-08T08:30:00.000-04:00:00,NE-MRBTS-690501,16,2.0,1.0,16,10.0,2.0,1520.0,,,,
2025-05-08T09:00:00.000-04:00:00,NE-MRBTS-690501,21,5.0,,21,16.0,,1112.0,2.0,,,
2025-05-08T09:15:00.000-04:00:00,NE-MRBTS-690501,7,2.0,,7,5.0,,2354.0,,,,
2025-05-08T09:30:00.000-04:00:00,NE-MRBTS-690501,15,3.0,1.0,15,11.0,,1642.0,,,,
2025-05-08T09:45:00.000-04:00:00,NE-MRBTS-690501,13,3.0,2.0,13,6.0,2.0,2249.0,,,,
2025-05-08T10:00:00.000-04:00:00,NE-MRBTS-690501,27,1.0,4.0,26,18.0,3.0,1551.0,,1.0,,
2025-05-08T10:15:00.000-04:00:00,NE-MRBTS-690501,15,5.0,1.0,15,7.0,2.0,1534.0,,,,
2025-05-08T10:30:00.000-04:00:00,NE-MRBTS-690501,33,5.0,3.0,32,22.0,2.0,1531.0,,1.0,,
2025-05-08T10:45:00.000-04:00:00,NE-MRBTS-690501,26,5.0,1.0,26,13.0,7.0,1851.0,,,,
2025-05-08T11:00:00.000-04:00:00,NE-MRBTS-690501,10,2.0,,10,7.0,,1222.0,,,,
2025-05-08T11:15:00.000-04:00:00,NE-MRBTS-690501,16,1.0,,16,14.0,1.0,1955.0,,,,
2025-05-08T11:30:00.000-04:00:00,NE-MRBTS-690501,14,4.0,,13,8.0,1.0,2710.0,1.0,1.0,,
2025-05-08T11:45:00.000-04:00:00,NE-MRBTS-690501,17,2.0,1.0,17,14.0,,1436.0,1.0,,,
2025-05-08T12:00:00.000-04:00:00,NE-MRBTS-690501,11,2.0,1.0,11,5.0,2.0,1745.0,,,,
2025-05-08T12:15:00.000-04:00:00,NE-MRBTS-690501,18,2.0,1.0,18,12.0,2.0,357.0,,,,
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-690501,26,3.0,1.0,26,21.0,1.0,554.0,,,,
