createAt,manageObject,M8049C0,M8049C1,M8049C2,M8049C3
2025-05-08T09:15:00.000-04:00:00,NE-MRBTS-660701,8,13831.0,2516.0,13926.0
2025-05-08T09:30:00.000-04:00:00,NE-MRBTS-660701,7,11568.0,845.0,11678.0
2025-05-08T09:45:00.000-04:00:00,NE-MRBTS-660701,7,13371.0,9763.0,15060.0
2025-05-08T10:00:00.000-04:00:00,NE-MRBTS-660701,6,13588.0,1071.0,13626.0
2025-05-08T10:15:00.000-04:00:00,NE-MRBTS-660701,6,13678.0,715.0,14168.0
2025-05-08T10:30:00.000-04:00:00,NE-MRBTS-660701,6,13559.0,695.0,13752.0
2025-05-08T10:45:00.000-04:00:00,NE-MRBTS-660701,6,12363.0,836.0,12528.0
2025-05-08T11:00:00.000-04:00:00,NE-MRBTS-660701,4,10912.0,449.0,11227.0
2025-05-08T11:15:00.000-04:00:00,NE-MRBTS-660701,4,10047.0,368.0,10239.0
2025-05-08T11:30:00.000-04:00:00,NE-MRBTS-660701,3,8306.0,428.0,8586.0
2025-05-08T11:45:00.000-04:00:00,NE-MRBTS-660701,4,11974.0,396.0,12154.0
2025-05-08T12:00:00.000-04:00:00,NE-MRBTS-660701,6,11801.0,391.0,11920.0
2025-05-08T12:15:00.000-04:00:00,NE-MRBTS-660701,5,9536.0,549.0,9657.0
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-660701,5,13645.0,1645.0,13989.0
2025-05-08T12:45:00.000-04:00:00,NE-MRBTS-660701,5,13958.0,765.0,14302.0
2025-05-08T13:00:00.000-04:00:00,NE-MRBTS-660701,6,12205.0,1146.0,12268.0
2025-05-08T13:15:00.000-04:00:00,NE-MRBTS-660701,7,11349.0,846.0,11459.0
2025-05-08T13:30:00.000-04:00:00,NE-MRBTS-660701,6,4688.0,476.0,4784.0
2025-05-08T13:45:00.000-04:00:00,NE-MRBTS-660701,8,13816.0,705.0,13965.0
2025-05-08T14:00:00.000-04:00:00,NE-MRBTS-660701,7,11619.0,1868.0,11695.0
2025-05-08T14:15:00.000-04:00:00,NE-MRBTS-660701,6,9977.0,412.0,10088.0
2025-05-08T14:30:00.000-04:00:00,NE-MRBTS-660701,8,4991.0,762.0,5177.0
2025-05-08T14:45:00.000-04:00:00,NE-MRBTS-660701,8,4087.0,4527.0,4780.0
2025-05-08T15:00:00.000-04:00:00,NE-MRBTS-660701,7,2252.0,247.0,2302.0
2025-05-08T15:15:00.000-04:00:00,NE-MRBTS-660701,7,9856.0,580.0,10054.0
2025-05-08T15:30:00.000-04:00:00,NE-MRBTS-660701,8,13840.0,584.0,13978.0
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-414225,1,7569.0,817.0,7836.0
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-414225,1,56.0,20.0,76.0
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-414225,1,1441.0,82.0,1481.0
2025-05-08T10:45:00.000-03:00:00,NE-MRBTS-414225,1,414.0,53.0,432.0
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-414225,1,7954.0,179.0,8025.0
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-414225,1,111.0,73.0,164.0
2025-05-08T11:30:00.000-03:00:00,NE-MRBTS-414225,2,351.0,113.0,385.0
2025-05-08T11:45:00.000-03:00:00,NE-MRBTS-414225,1,77.0,67.0,86.0
2025-05-08T12:00:00.000-03:00:00,NE-MRBTS-414225,1,536.0,54.0,576.0
2025-05-08T12:15:00.000-03:00:00,NE-MRBTS-414225,1,254.0,120.0,319.0
2025-05-08T12:30:00.000-03:00:00,NE-MRBTS-414225,1,258.0,81.0,340.0
2025-05-08T12:45:00.000-03:00:00,NE-MRBTS-414225,1,,5.0,5.0
