createAt,manageObject,M8006C0,M8006C1,M8006C53,M8006C54,M8006C196,M8006C214,M8006C232,M8006C254,M8006C255,M8006C256,M8006C180,M8006C185,M8006C243,M8006C6,M8006C247,M8006C7,M8006C313,M8006C339,M8006C340,M8006C262,M8006C263,M8006C264,M8006C346,M8006C205,M8006C223,M8006C347,M8006C259,M8006C246
2025-05-07T17:45:00.000-04:00:00,NE-MRBTS-660701,32.0,32.0,2227.0,900,32.0,32.0,5.0,29.0,29.0,,,394.0,,,,,,,,,,,,,,,,
2025-05-07T18:00:00.000-04:00:00,NE-MRBTS-660701,35.0,35.0,2191.0,900,35.0,35.0,5.0,36.0,36.0,,,577.0,,,,,,,,,,,,,,,,
2025-05-07T18:15:00.000-04:00:00,NE-MRBTS-660701,17.0,17.0,2420.0,900,17.0,17.0,5.0,18.0,18.0,,,1157.0,,,,,,,,,,,,,,,,
2025-05-07T18:30:00.000-04:00:00,NE-MRBTS-660701,23.0,23.0,2019.0,900,23.0,23.0,4.0,22.0,22.0,,,1012.0,,,,,,,,,,,,,,,,
2025-05-07T18:45:00.000-04:00:00,NE-MRBTS-660701,14.0,13.0,2009.0,900,14.0,13.0,4.0,13.0,13.0,,,929.0,,,1.0,1.0,,,,,,,,,,,,
2025-05-07T19:00:00.000-04:00:00,NE-MRBTS-660701,25.0,25.0,2808.0,900,25.0,25.0,6.0,23.0,23.0,,,1014.0,,1.0,,,,,,,,,,,,,,
2025-05-07T19:15:00.000-04:00:00,NE-MRBTS-660701,28.0,28.0,2809.0,900,28.0,28.0,5.0,25.0,24.0,1.0,,778.0,,2.0,,,,,,,,,,,,,,
2025-05-07T19:30:00.000-04:00:00,NE-MRBTS-660701,21.0,21.0,3225.0,900,21.0,21.0,5.0,20.0,20.0,,,1184.0,,2.0,,,,,,,,,,,,,,
2025-05-07T19:45:00.000-04:00:00,NE-MRBTS-660701,19.0,19.0,2155.0,900,19.0,19.0,5.0,15.0,15.0,,,1112.0,,5.0,,,,,,,,,,,,,,
2025-05-07T20:00:00.000-04:00:00,NE-MRBTS-660701,18.0,18.0,1836.0,900,18.0,18.0,4.0,18.0,18.0,,,623.0,,,,,,,,,,,,,,,,
